a	에이
Da Nang	다낭
Dabney	다브니
Dacada	다카다
Dacoma	다코마
Dacula	다큘라
dadaism	다다이즘
Dade City	데이드시티
Dade County	데이드 카운티
Dadeville	데이드빌
Daewoo	대우
Daggett	대거트
Daggett County	다제트 카운티
Dahinda	다힌다
Dahlia	달리아
Dahlonega	달로네가
Dahmer	다머
Dahoma	다호마
Dailey	데일리
daily	데일리
Dairy	데어리
Dairyland	데어리랜드
daisy	데이지
Daisy	데이지
Daisy Hill	데이지 힐
Dakar	다카르
Dakota	다코타
Dakota City	다코타 시티
Dakota County	다코타 카운티
Dalaman	댈러만
Dalbo	댈보
Dale	데일
Dale City	데일 시티
Dale County	데일 카운티
Daleville	데일빌
Dallam County	댈럼 카운티
Dallas	달라스
Dallas Center	댈러스 센터
Dallas City	댈러스 시티
Dallas County	댈러스 카운티
Dalton	돌턴
Daly City	델리시티
dam	댐
Damar	다마
Damariscotta	다마리스코타
Damascus	다마스커스
Dammam	다맘
damping	댐핑
Damscus	다마스커스
Dana	다나
Dana Point	다나 포인트
Danbury	댄베리
Danby	댄비
dance	댄스
Dancehall	댄스홀
dancer	댄서
Danciger	댄시거
DANDONG	단동
Dandridge	댄드리지
Dane	데인
Dane County	데인 카운티
Danese	대니스
Danforth	댄포스
Dania Beach	데니아 비치
Daniel	다니엘
Daniels	대니얼스
Daniels County	다니엘스 카운티
Dannemora	댄모라
Dannevirke	데니버크
Dans Run	댄스 런
Dansville	댄스빌
Dante	단테
Dantoni	댄토니
Danube	다뉴브
Danvers	댄버스
Danville	댄빌
Daphne	대프니
Dar Es Salaam	다르에스살람
Darby	다비
Dardanelle	다르다넬
Dare	데어
Dare County	데어 카운티
Darfur	달퍼
Dargan	다건
Dargaville	다가빌
Darien	데리언
dark	다크
Darke County	다크 카운티
Darling	달링
Darling Downs	달링다운스
Darlington	달링턴
Darlington County	달링턴 카운티
Darlingtonia	달링토니아
Darmstadt	다름슈타트
Darrington	달링턴
Darrtown	다타운
dart	다트
Dartmouth	다트머스
darwin	다윈
Darwin	다윈
Dash Point	대시 포인트
Dasher	대셔
data	데이터
data algorithms	데이터 알고리즘
data bank	데이터뱅크
data base	데이터베이스
data communication	데이터통신
data file	데이터파일
data mining	데이터마이닝
data warehouse	데이터웨어하우스
data-flow computer	데이터플로컴퓨터
database file	데이터베이스파일
database machine	데이터베이스머신
date	데이트
Datto	다토
daum	다음
Dauphin County	도핀 카운티
Dauphin Island	더핀 아일랜드
Davao	다바오
Davenport	대번포트
David	데이비드
David City	데이비드 시티
Davidson	데이비슨
Davidson County	데이비드슨 카운티
Davie	데이비
Davie County	데이비 카운티
Daviess County	데이비스 카운티
Davin	다빈
Davis	데이비스
Davis City	데이비스 시티
Davis County	데이비스 카운티
Davison	데이비슨
Davison County	데이비슨 카운티
Davisville	데이비스빌
Davy	데이비
Dawes	도스
Dawes County	도스 카운티
dawing paper	드로잉 페이퍼
Dawn	돈
Dawson	도슨
Dawson County	도슨 카운티
Dawson Creek	도손크릭
Dawsonville	도슨빌
day	데이
Day	데이
Day County	데이 카운티
Day Marketing	데이마케팅
Dayton	데이턴
Daytona Beach	데이토나 비치
Daytona Beach Shores	데이토나비치쇼어스
Dayville	데이빌
Dazey	데이지
DCinside	디시인사이드
De Baca County	데바카 카운티
De Graff	드 그라프
De Kalb	드 칼브
De Land	드랜드
De Leon	드 리언
De Luz	데 루즈
De Pere	드 피어
De Peyster	드 페이스터
De Soto	드 소토
De Soto City	디소토시티
De Soto County	데 소토 카운티
De Soto Parish County	데소토 패리시
De Witt County	디위트 카운티
Deacon	디컨
dead	데드
deadeye	데드아이
Deadhorse	데드호스
Deadwood	데드우드
Deaf Smith County	디프 스미스 카운티
dealer	딜러
Dearborn	디어본
Dearborn County	디어본 카운티
Dearborn Heights	디어본 하이츠
Dearing	디어링
Deary	디어리
Deatsville	디츠빌
Deaver	디버
DeBary	드베리
Deblois	드블로이스
debug	디버그
debut	데뷔
Decatur	디케이터
Decatur City	디케이터 시티
Decatur County	디케이터 카운티
decibel	데시벨
decided	디사이디드
Decker	데커
Deckers	데커스
Declo	데클로
Decorah	데코라
Decorra	데코라
Decota	드코타
Dedham	데덤
Dee	디
Deep Blue	딥블루
Deep Creek	딥 크리크
deep learning	딥러닝
Deep Learning	딥 러닝
Deep Run	딥 런
Deep Springs	딥 스프링스
Deep Water	딥 워터
Deepstep	딥스텝
Deepwater	딥워터
Deer	디어
Deer Creek	디어 크리크
Deer Isle	디어 아일
Deer Lake	디어레이크
Deer Lodge	디어 로지
Deer Lodge County	디어 로지 카운티
Deer Park	디어 파크
Deer Trail	디어 트레일
Deerfield	디어필드
Deerfield Beach	디어필드 비치
Deering	디어링
Deerland	디어랜드
Deerpark	디어파크
Deerwood	디어우드
Deeson	디슨
Defeated	디피티드
Defiance	디파이언스
Defiance County	디파이언스 카운티
Defoe	드포
Deford	디포드
degausser	디가우서
Dehesa	데헤사
DeKalb	드칼브
DeKalb County	드칼브 카운티
Del City	델 시티
Del Dios	델 디오스
Del Mar	델 마
Del Norte	델 노르테
Del Norte County	델노르트 카운티
Del Rey Oaks	델레이오크스
Del Rio	델 리오
Del Sur	델 수르
Del Valle	델 발
Delacroix Island	델라크록스 아일랜드
Delafield	델라필드
Deland Highlands	드랜드 하이랜즈
Delaney	델라니
Delano	딜라노
Delavan	델러번
Delaware	델라웨어
Delaware City	델라웨어시티
Delaware County	델라웨어 카운티
Delena	델레나
Delft	델프트
Delhi	델하이
Delia	딜리아
Delight	딜라이트
Dell	델
Dellview	델뷰
Delmar	델마
Delmont	델몬트
Deloit	델로이트
Delong	들롱
Delphi	델파이
Delphos	델포스
Delray	델레이
Delray Beach	델레이비치
Delta	델타
Delta City	델타 시티
Delta County	델타 카운티
Delta Junction	델타 정션
Delton	델턴
Deltona	델토나
deluxe	디럭스
demand	디맨드
Deming	더밍
Democrat	데모크랏
demonstration	데모
Demopolis	데모폴리스
Demorest	데모레스트
Dempsey	뎀프시
Dempster	뎀프스터
Denali Borough	데날리 버러
Dendron	덴드론
Denham	덴햄
Denham Springs	덴햄 스프링스
denim	데님
Denison	데니슨
Denizli	데니즐리
Denmark	덴마크
Dennard	드나드
Denning	데닝
Dennis	데니스
Denpasar	덴파사르
Dent	덴트
Dent County	덴트 카운티
dental	덴탈
Denton	덴턴
Denton County	덴턴 카운티
Dentsville	덴츠빌
Denver	덴버
Denver City	덴버 시티
Denzer	덴저
Deora	디오라
department store	데파트먼트 스토어
Depew	드퓨
Deport	디포트
Deposit	디포짓
depth interview	데프스인터뷰
Deputy	데퓨티
DeQuincy	드퀸시
Derby	더비
DeRidder	데리더
Derma	더마
Dermott	더모트
Derry	데리
DeRuyter	드라이터
Derwent	더웬트
Derwood	더우드
Des Lacs	드 라크
Des Moines	디모인
Des Moines County	디모인 카운티
Des Plaines	데스 플레인즈
Descanso	데스칸소
Deschutes	더슈츠
Deschutes County	더슈츠 카운티
Deseret	데자릿
Desert Beach	데저트 비치
Desert Center	데저트 센터
Desert Hot Springs	데저트 핫 스프링스
Desha County	데샤 카운티
design	디자인
designer	디자이너
desk	데스크
Desloge	데스로지
DeSmet	데스멧
DeSoto	디소토
DeSoto County	데소토 카운티
dessert	디저트
dessin	데생
Destin	데스틴
Detour	디투어
Detroit	디트로이트
Detroit Lakes	디트로이트 레이크스
Deuel County	드우엘 카운티
developer	디벨로퍼
development	디벨롭먼트
Deventer	디벤터
Devereux	데브러
Deverre	드베르
device bay	디바이스 베이
device driver	디바이스 드라이버
Devil's Elbow	데빌스 엘보
Devils Lake	데빌스 레이크
Devine	디바인
Devol	디볼
Devonport	데번포트
Devonshire	데본샤이어
DevOps	데브옵스
Devore Heights	드보어 하이츠
Devotion	디보션
Dew	듀
Dewar	듀어
Dewey	듀이
Dewey Beach	듀이 비치
Dewey County	듀이 카운티
DeWitt	드위트
DeWitt County	디위트 카운티
Dewmaine	듀메인
Dexter	덱스터
Dhaka	다카
dharma	달마
Dhrystone	드라이스톤
diablo	디아블로
Diablo Grande	디아블로 그란데
Diagonal	다이아고날
dial	다이알
dial up	다이얼업
dialogue	다이얼로그
diamond	다이아몬드
Diamond	다이아몬드
Diamond A Ranch	다이아몬드 아 랜치
Diamond Bar	다이아몬드바
Diamond City	다이아몬드 시티
Diamond Point	다이아몬드 포인트
Diamondville	다이아몬드빌
Diana	다이애나
diary	다이어리
Diaz	디아즈
Dibble	디블
Diboll	디볼
Dickens	디킨스
Dickens County	디킨스 카운티
Dickenson County	디킨슨 카운티
Dickerson	디커슨
Dickert	디커트
Dickey	디키
Dickey County	디키 카운티
Dickinson	디킨슨
Dickinson County	디킨슨 카운티
Dickson	딕슨
Dickson County	딕슨 카운티
dictionary	딕셔너리
Dierks	더크스
diet	다이어트
Dietrich	디트릭
differential power analysis	디퍼런셜 파워 어낼리시스
digerati	디저라티
digest	다이제스트
Dighton	다이턴
digital	디지털
digital camera	디지털 카메라
digital communication	디지털통신
digital computer	디지털컴퓨터
digital forensics	디지털 포렌식
digital memory scope	디지털메모리스코프
digital pen	디지털 펜
Digital Signage	디지털 사이니지
digitizer	디지타이저
Dike	다이크
dill	딜
Dillard	딜라드
Dillingham	딜링햄
Dillingham Census Area	딜링햄 인구조사구역
Dillon	딜런
Dillon County	딜런 카운티
Dills	딜스
Dillwyn	딜윈
Dilworth	딜워스
Dimmit County	디미트 카운티
Dimock	디모크
Ding Dong	딩 동
Dingy	딩이
dining room	다이닝룸
Dinosaur	다이노소어
Dinuba	디누바
Dinwiddie County	딘위디 카운티
diode	다이오드
Diomede	디오메드
dioxin	다이옥신
Dipple	디플
direct	다이렉트
director	디렉터
DirectX	다이렉트엑스
Disabler	디스에이블러
disco	디스코
discommunication	디스커뮤니케이션
discount sale	디스카운트세일
disk	디스크
disk jockey	디스크자키
disk mirroring	디스크 미러링
diskette	디스켓
Disko	디스코
disney	디즈니
Disney	디즈니
Disneyland	디즈니랜드
Dithering	디더링
diver	다이버
Divide	디바이드
Divide County	디바이드 카운티
diving	다이빙
DivX	디빅스
Dix	딕스
Dixie	딕시
Dixie County	딕시 카운티
Dixon	딕슨
Dixon County	딕슨 카운티
Diyarbakir	디야르바키르
DJ	디제이
Djibouti	지부티
Dnepropetrovsk	드네프로페트로브스크
Doanville	돈빌
Dobbin	도빈
Dobbins	도빈스
Dobson	돕슨
dock	독
Dockery	도커리
docking	도킹
docking station	도킹스테이션
doctor	닥터
Doctors Inlet	닥터스 인렛
doctrine	독트린
documentary	다큐멘터리
Dodd	도드
Doddridge County	도드리지 카운티
Dodds	도즈
Dodge City	도지시티
Dodge County	도지 카운티
Dodgeville	도지빌
Dodson	도슨
Doe Bay	도 베이
Doe Run	도 런
Doerun	도런
dog	도그
Dogtown	독타운
Dogue	도그
Dogwood Acres	독우드 에이커스
Doha	도하
dollar	달러
dolly	달리
Dolomite	돌로미티
Dolores	덜로리스
Dolores County	덜로리스 카운티
dolphin	돌핀
Dolton	돌턴
domain	도메인
dome	돔
Domestic	도메스틱
Dominica	도미니카공화국
Don Juan	돈 주안
Donahue	도나휴
Donald	도널드
donald trump	도널드 트럼프
Donalds	도널즈
Donaldson	도널드슨
Donalsonville	도널슨빌
Doney Park	도니 파크
Dongola	동골라
DONGSHENG	동성
Donie	도니
Doniphan County	도니판 카운티
Donley County	돈리 카운티
Donna	도나
Donnellson	도넬슨
Donnelly	도넬리
Donnybrook	도니브룩
Doole	둘
Dooling	둘링
Doolittle	둘리틀
Dooly County	둘리 카운티
Doon	둔
door	도어
Door County	도어 카운티
doping	도핑
Dopp	도프
Dora	도라
Doral	도랄
Doran	도란
Doraville	도라빌
Dorcas	도르카스
Dorchester	도체스터
Dorchester County	도체스터 카운티
Dorrance	도런스
Dorris	도리스
Dorset	도셋
Dorsey	도시
Dos Cabezas	도스 카베자스
Dos Palos	도스팔로스
Dos Rios	도스 리오스
dot matrix printer	도트매트릭스프린터
Dothan	도탄
Doty	도티
Douala	두알라
double	더블
Double Adobe	더블 아도비
double bed	더블베드
Double Tollgate	더블 톨게이트
Dougherty	도허티
Dougherty County	도허티 카운티
doughnut	도넛
Douglas	더글러스
Douglas City	더글라스 시티
Douglas County	더글러스 카운티
Douglas Park	더글라스 파크
Douglass	더글러스
Douglass Hills	더글러스 힐스
Douglassville	더글라스빌
Douglasville	더글러스빌
Dover	도버
Dover-Foxcroft	도버-폭스크로프트
Dovray	도브레이
Dowagiac	도웨지액
Dowling Park	다울링파크
dowm	다운
down	다운
Downer	다우너
Downey	다우니
Downieville	다우니빌
Downing	다우닝
download	다운로드
Downs	다운스
downsizing	다운사이징
downtown	다운타운
Dows	다우즈
Doyle	도일
Doylestown	도일스타운
Dozier	도지어
dr. dre	닥터 드레
Dracut	드라컷
drag	드래그
drag and drop	드래그 앤드 드롭
dragon	드래곤
Dragoon	드래군
drain cock	드레인콕
Drake	드레이크
drama	드라마
Draper	드레퍼
draping	드레핑
drawing	드로잉
Drayton	드레이턴
dream	드림
Dreamland	드림랜드
dreamwiz	드림위즈
dreamx	드림엑스
Dresden	드레스덴
Dresher	드레셔
dress	드레스
Dresser	드레서
dressing	드레싱
dressing room	드레싱 룸
dressingroom	드레싱룸
Drew	드루
Drew County	드류 카운티
Drexel	드렉셀
Driftwood	드리프트우드
Driggs	드릭스
drill	드릴
drink	드링크
Driscoll	드리스콜
drive	드라이브
driver	드라이버
Drivers	드라이버스
Droop	드룹
drop hammer	드롭해머
dropbox	드롭박스
Druid Hills	드루이드 힐스
drum	드럼
Drum and Bass	드럼 앤드 베이스
drum scanner	드럼스캐너
Drummond	드러먼드
Drummondville	드러먼드빌
Drumright	드럼라이트
Drury	드러라
dry	드라이
Dry Creek	드라이 크리크
dry ice	드라이아이스
Dry Ridge	드라이 리지
Dry Run	드라이 런
Dryad	드라이어드
drybattery	드라이배터리
drycleaning	드라이 크리닝
Dryden	드라이든
dryer	드라이어
Drytown	드라이타운
dsniff	디스니프
Du Pont	듀 폰트
Du Quoin	듀 코인
dual	듀얼
dual system	듀얼시스템
Duane	두에인
Duarte	두아르테
Dubach	더바크
Dubai	두바이
dubbing	더빙
Dubbo	더보
Dubbs	덥스
Dublin	더블린
Dubois	두보아
DuBois	뒤부아
Dubois County	두보아 카운티
Dubuque	더뷰크
Dubuque County	더뷰크 카운티
Duchesne	뒤센
Duchesne County	뒤센 카운티
duct	닥트
Dudley	더들리
Duette	듀엣
Duffau	더포
Duffield	더프필드
Dufur	더퍼
Dugdale	덕데일
Dugger	더거
Duke	듀크
Dukes County	듀크스 카운티
Dulles	덜레스
Duluth	덜루스
Dulzura	둘주라
Dumas	뒤마
Dumfries	덤프리스
Dummer	더머
dummy	더미
Dumont	듀몬트
dump truck	덤프 트럭
dumper	덤퍼
dumping	덤핑
Dunavant	더나번트
Dunbar	던바
Duncan	던컨
Duncan Mills	덩컨 밀스
Duncans Mills	던캔스 밀스
Dundas	던다스
Dundee	던디
Dundon	던든
Dundy County	던디 카운티
Dunedin	더니든
Duneland Beach	듄랜드 비치
Dungeness	던지니스
DUNHUANG	둔황
dunk shoot	덩크슛
Dunkel	둥켈
Dunkirk	던커크
Dunklin County	덩클린 카운티
Dunlap	던랩
Dunmore	던모어
Dunn	던
Dunn County	던 카운티
Dunn Mill	던 밀
Dunnegan	던건
Dunnell	더넬
Dunnellon	두넬론
Dunnigan	더니건
Dunns	던즈
Dunnville	던빌
Dunsmuir	던스뮤어
Dunstable	던스터블
Dunwoody	던우디
duo	듀오
DuPage County	뒤파제 카운티
Duplin County	더플린 카운티
Dupont	듀폰트
DuPont	듀폰
Dupree	듀프리
Duquesne	듀케인
Duquette	듀켓
Durand	더랜드
durango	듀랑고
Durango	두랑고
Durant	듀란트
Durban	더반
Durbin	더빈
Durgon	더건
Durham	더럼
Durham County	더럼 카운티
durian	두리안
during	듀링
Durkee	더키
Dushanbe	두산베
dusky	더스키
Duson	두손
Dusseldorf	뒤셀도르프
Dustin	더스틴
Dusty	더스티
Dutch Flat	더치 플랫
Dutchess County	더치스 카운티
Dutchtown	더치타운
Dutton	더턴
Duval County	듀발 카운티
Duvall	듀발
Duxbury	덕스베리
Dwight	드와이트
Dwyer	드위어
Dyal	다일
Dyckesville	다익스빌
Dycusburg	다이커스버그
Dyer	다이어
Dyer County	다이어 카운티
Dyersville	다이어스빌
Dyess	다이스
Dyke	다이크
Dykersburg	다이커스버그
dynamic	다이내믹
Dysart	디서트
dysprosium	디스프로슘
dystopia	디스토피아
e	이
E-mail	이메일
E-mail Magazine	이메일매거진
Eads	이즈
Eagan	이건
Eagar	이거
Eagle	이글
Eagle Center	이글 센터
Eagle County	이글 카운티
Eagle Creek	이글 크리크
Eagle Grove	이글 그로브
Eagle Lake	이글레이크
Eagle Mountain	이글 마운틴
Eagle Pass	이글 패스
Eagle Point	이글 포인트
Eagle Point Bay	이글 포인트 베이
Eagle River	이글 리버
Eagle Rock	이글 록
Eagle Valley	이글 밸리
Eagleville	이글빌
Eakly	에클리
ear	이어
Earl	얼
Earl Park	얼 파크
Earle	얼
Earlham	얼햄
Earling	얼링
Earlington	얼링턴
Earlton	얼튼
Earlville	얼빌
Early	얼리
Early County	얼리 카운티
Earnshaw	언쇼
Earp	어프
earphone	이어폰
earring	이어링
earth	어스
Earth City	어스 시티
Easley	이슬리
East	이스트
East Arboga	이스트 아보가
East Bank	이스트 뱅크
East Baton Rouge Parish County	이스트 배턴 루지 패리시
East Beaver Bay	이스트 비버 베이
East Bloomfield	이스트 블룸필드
East Bridgewater	이스트 브리지워터
East Bristol	이스트 브리스톨
East Carroll Parish County	이스트 캐럴 패리시
East Chicago	이스트시카고
East Cleveland	이스트 클리블랜드
East Dubuque	이스트 드뷰크
East Feliciana Parish County	이스트 펠리치아나 패리시
East Germantown	이스트 저먼타운
East Granby	이스트그랜비
East Grand Forks	이스트 그랜드 폭스
East Grand Rapids	이스트 그랜드 래피즈
East Greenbush	이스트 그린부쉬
East Greenwich	이스트 그린위치
East Hampton	이스트 햄튼
East Hartford	이스트하트퍼드
East Hope	이스트 호프
East Kingston	이스트 킹스턴
East Lake	이스트 레이크
East Lansing	이스트랜싱
East Leavenworth	이스트 리븐워스
East Liverpool	이스트리버풀
East London	이스트 런던
East Longmeadow	이스트 롱메도우
East Los Angeles	이스트 로스앤젤레스
East Lyme	이스트라임
East Lynn	이스트 린
East Millinocket	이스트 밀리노켓
East Moline	이스트멀린
East Moss Point	이스트 모스 포인트
East Naples	이스트 네이플스
East New Market	이스트 뉴 마켓
East Nicolaus	이스트 니콜라우스
East Orange	이스트오렌지
East Otto	이스트 오토
East Palestine	이스트 팔레스타인
East Palo Alto	이스트팰로앨토
East Peoria	이스트 피오리아
East Pleasanton	이스트 플레젠튼
East Point	이스트포인트
East Saint Louis	이스트세인트루이스
East Side	이스트사이드
East St. Louis	이스트 세인트 루이스
East Tampa	이스트 탬파
East Thermopolis	이스트 서모폴리스
East Wenatchee	이스트 위냇치
East Windsor	이스트윈저
Eastborough	이스트버러
Eastbrook	이스트브룩
Eastchester	이스트체스터
Eastgate	이스트게이트
Eastham	이스텀
Easthampton	이스트햄프턴
Eastlake	이스트레이크
Eastland	이스트랜드
Eastland County	이스틀랜드 카운티
Eastman	이스트먼
Easton	이스턴
Eastover	이스토버
Eastport	이스포트
Eastvale	이스트베일
Eastville	이스트빌
Eaton	이턴
Eaton County	이턴 카운티
Eatonville	이턴빌
Eau Claire	오클레어
Eau Claire County	오클레어 카운티
Eau Galle	오 갈르
Ebenezer	에버니저
ebrand	이브랜드
Ebro	에브로
ecard	이카드
Eccles	에클레스
Echo Lake	에코 레이크
Echols	에콜스
Eckerty	엑커티
Eckford	엑포드
Eckley	에클리
Eclectic	에클렉틱
economy	이코노미
Economy	이코노미
Ecru	에크루
ecstasy	엑스터시
Ector	엑터
Ector County	엑터 카운티
Ecuador	에콰도르
Eddington	에딩턴
Eddy	에디
Eddy County	에디 카운티
Eddyville	에디빌
Edelstein	에델스타인
Eden	에덴
Eden Prairie	에덴 프레리
Eden Valley	에덴 밸리
Edgar	에드거
Edgar County	에드거 카운티
Edgartown	에드가타운
edge	엣지
Edge	엣지
Edge Hill	에지 힐
Edgecomb	에지콤
Edgecombe County	에지컴 카운티
Edgefield County	에지필드 카운티
Edgehill	에지힐
Edgerton	에저턴
Edgewater	에지워터
Edgewood	에지우드
Edgington	에징턴
Edina	에디나
Edinburg	에딘버그
Edinburgh	에딘버그
Edison	에디슨
editor	에디터
Edmeston	에드메스턴
Edmond	에드먼드
Edmonds	에드먼즈
Edmondson	에드먼드슨
Edmonson County	에드먼슨 카운티
Edmonston	에드먼스턴
Edmonton	에드먼턴
Edmore	에드모어
Edmund	에드먼드
Edmunds County	에드먼즈 카운티
Edna	에드나
Edom	에돔
Edson	에드슨
education	에듀케이션
Edwards	에드워즈
Edwards County	에드워즈 카운티
Edwardsville	에드워즈빌
Eek	에크
effect	이펙트
Effie	에피
Effingham	에핑엄
Effingham County	에핑엄 카운티
Efland	에플랜드
Egan	이건
Egg Harbor	에그 하버
Egg Harbor City	에그 하버 시티
egg milk	에그밀크
egg pudding	에그 푸딩
Eggleston	이글스턴
Eglantine	이글란타인
ego	에고
egoism	에고이즘
Egremont	에그리먼트
Egypt	이집트
Egypt Lake	이집트 레이크
Ehrhardt	에르하르트
Eighty Eight	에이티 에이트
Eileen	에일린
einsteinium	아인슈타이늄
Eisenstein	아인스타인
Eitzen	잇젠
Ekaterinburg	예카테린부르크
Ekin	에킨
Ekron	에크런
El Bonita	엘 보니타
El Cajon	앨 커혼
El Centro	엘센트로
El Cerrito	엘 세리토
El Dorado	엘더레이도
El Dorado County	엘도라도 카운티
El Dorado Springs	엘 도라도 스프링스
El Lago	엘 라고
El Mirage	엘 미라
El Monte	엘몬테
El Paso	엘파소
El Paso County	엘파소 카운티
El Portal	엘 포탈
El Reno	엘 리노
El Salvador	엘살바도르
El Segundo	엘세군도
Elaine	일레인
Elana	엘라나
elastica	엘라스티카
Elazig	에라지그
Elba	엘바
Elberfeld	엘버펠드
Elberon	엘버런
Elbert	엘버트
Elbert County	엘버트 카운티
Elberta	엘버타
Elbing	엘빙
Elbow Lake	엘보우 레이크
Elbridge	엘브리지
Elcho	엘코
Elco	엘코
Eldes Corner	엘디스 코너
Eldon	엘던
Eldora	엘도라
Eldorado	엘도라도
Eldridge	엘드리지
Eleanor	일리노어
Electric City	일렉트릭 시티
elegant	엘리건트
element	엘리먼트
Elephant Butte	엘리펀트 뷰트
Eleroy	엘로이
elevator	엘리베이터
eleven	일레븐
elf	엘프
Elfin Forest	엘핀 포레스트
Elgin	엘진
Eli Whitney	엘리 휘트니
Elida	엘리다
Elijah	엘리자
Elim	엘림
Eliot	엘리엇
Eliza	엘리자
Elizabeth	엘리자베스
Elizabeth City	엘리자베스 시티
Elizabethtown	엘리자베스타운
Elk	엘크
Elk City	엘크 시티
Elk County	엘크 카운티
Elk Grove	엘크 그로브
Elk Horn	엘크 혼
Elk Mountain	엘크 마운틴
Elk Ridge	엘크 리지
Elkader	엘캐더
Elkhart	엘크하트
Elkhart County	엘크하트 카운티
Elkhorn	엘크혼
Elkin	엘킨
Elkins	엘킨스
Elkins Park	엘킨스 파크
Elkmont	엘크몬트
Elko	엘코
Elko County	엘코 카운티
Elkridge	엘크리지
Elkton	엘크턴
Ella	엘라
Ellenburg	엘렌버그
Ellendale	엘렌데일
Ellensburg	엘렌스버그
Ellenwood	엘렌우드
Ellerslie	엘러슬리
Ellery	엘러리
Ellesmere	엘즈미어
Ellicott	엘리코트
Ellicott City	엘리코트 시티
Ellijay	일라제이
Ellington	엘링턴
Ellinwood	엘린우드
Elliott	엘리엇
Elliott County	엘리엇 카운티
Ellis	엘리스
Ellis County	엘리스 카운티
Ellisburg	엘리스버그
Ellisville	엘리스빌
Ellsinore	엘시노어
Ellsworth	엘스워스
Ellsworth County	엘스워스 카운티
Ellzey	엘지
Elm City	엘름 시티
Elm Grove	엘름 그로브
Elm Park	엘름 파크
Elm Tree Crossroads	엘름 트리 크로스로즈
Elma	엘마
Elmdale	엘름데일
Elmendorf	엘멘도르프
Elmer	엘머
Elmhurst	엘름허스트
Elmira	엘마이라
Elmo	엘모
Elmont	엘몬트
Elmore	엘모어
Elmore County	엘모어 카운티
Elmwood	엘름우드
Elna	엘나
Elon	엘런
Eloy	일로이
Elrod	엘로드
Elrosa	엘로사
Elroy	엘로이
Elsa	엘사
Elsanor	엘사노어
Elsey	엘시
Elsie	엘지
Elsinore	엘시노어
Elsmere	엘스미어
Elsmore	엘즈모어
Elston	엘스턴
Eltham	엘섬
Elton	엘턴
Eltopia	엘토피아
Elvan	엘반
Elverta	앨버타
Elvira	엘비라
Elwha	엘화
Elwood	엘우드
Elwood Park	엘우드파크
Ely	일리
Elyria	일리리아
Elysian	엘리시안
Elysian Fields	엘리시안 필즈
EMACS	이맥스
email	이메일
Emanuel County	에마누엘 카운티
emart	이마트
embassy	엠버시
embedded system	임베디드시스템
Emblem	엠블렘
Embudo	엠버도
Emden	엠든
Emelle	에멜레
emerald	에메랄드
Emerald	에머랄드
Emerald Bay	에메랄드 베이
Emerald Grove	에머랄드 그로브
Emerald Isle	에메랄드 아일
Emerson	에머슨
Emery	에머리
Emery County	에머리 카운티
Emeryville	에머리빌
Emhouse	엠하우스
Emigrant	에미그랜트
Emigrant Pass	에미그랜드 패스
emilsion	에멀전
Emily	에밀리
eminem	에미넴
Eminence	에미넌스
Emit	에미트
Emma	엠마
Emmaus	엠마우스
Emmet	에메트
Emmet County	에밋 카운티
Emmett	에밋
Emmitsburg	에미츠버그
Emmons	에몬스
Emmons County	에몬스 카운티
Emory	에모리
emoticon	이모티콘
empas	엠파스
Empire	엠파이어
Empire City	엠파이어 시티
Emporia	엠포리아
Emporium	엠포리엄
emulator	에뮬레이터
emulsion	이멀션
enamel	에나멜
Encinitas	앤시니타스
encore	앙콜
Enderby	엔더비
Enderlin	엔더린
Enders	엔더스
Endicott	엔디코트
Energie	에네르기
energy	에너지
Enfield	엔필드
engagement	인게이지먼트
Engelhard	엥겔하드
engine	엔진
engineer	엔지니어
engineering	엔지니어링
england	잉글랜드
England	잉글랜드
Engle	엥글
Englewood	잉글우드
english	잉글리시
ENIAC	에니악
Enid	이너드
Enigma	어니그마
Enion	에니언
enjoy	엔조이
Enka	엔카
Ennis	에니스
Eno	이노
Enoch	에녹
Enochs	에녹스
Enola	에놀라
Enon	에논
Enos	에노스
ensemble	앙상블
Ensign	엔사인
Ensley	앤슬리
Entebbe	엔테베
enterovirus	엔테로바이러스
Enterprise	엔터프라이즈
entertainment fund	엔터테인먼트펀드
enthusia	엔써지아
entity	엔티티
entropy	엔트로피
Entry	엔트리
Enugu	에누구주
ENUM	이넘
Enumclaw	이넘클로
Enville	엔빌
Eola	에올라
Epes	에페스
Ephesus	에페서스
Ephraim	이프리엄
Ephrata	에프라타
Ephratah	에프라타
epilogue	에필로그
episode	에피소드
epoch-making	이폭 메이킹
Epping	에핑
Epsom	엠솜
Epworth	엡워스
Equality	이퀄리티
Era	에라
Erath	에라스
Erath County	에라스 카운티
ERBIL	아르빌
erbium	에르븀
Ercan	에르칸
Erevan	예레반
Erhard	어하드
Erick	에릭
Erie	에리
Erie County	이리 카운티
Erin	에린
Eritrea	에리트레아
Erlanger	얼랭어
Erle	얼
Ernie's Grove	어니스 그로브
Errol	에럴
error	에러
Erskine	어스킨
Erving	어빙
Erwin	어윈
Erzincan	에르진잔
Erzurum	에르주룸
Esbon	에스본
Escalante	에스칼란테
escalator	에스컬레이터
Escalon	에스칼론
Escambia County	에스캄비아 카운티
Escambia Farms	에스캠비아팜스
Escanaba	에스커나바
escape	이스케이프
Escondido	에스콘디도
Esdaile	에스데일
Eskimo	에스키모
Esko	에스코
