gahnite	가나이트	kanaitʰɯ
Baumeister	바우마이스터	paumaisɯtʰʌ
Bauer	바우어	pauʌ
bauhinia	바우히니아	pauhinia
boundary	바운더리	paundʌli
bound	바운드	paundɯ
Baumgarten	바움가르텐	paumgalɯtʰen
bye	바이	pai
Beiderbecke	바이더벡	paidʌbek
Weidenreich	바이덴라이히	paidellaihi
Bairam	바이람	pailam
virus	바이러스	pailʌsɯ
Byron	바이런	pailʌn
viroid	바이로이드	pailoidɯ
Baybars	바이바르스	paibalɯsɯ
vibration	바이브레이션	paibɯleisjʌn
vibrator	바이브레이터	paibɯleitʰʌ
bible	바이블	paibɯl
Weiss	바이스	paisɯ
vise	바이스	paisɯ
Weismannism	바이스마니즘	paisɯmanid͡ɕɯm
Weismann	바이스만	paisɯman
Bison	바이슨	paisɯn
vial	바이알	paial
biathlon	바이애슬론	paiɛsɯllon
Beyer	바이어	paiʌ
Baeyer	바이어	paiʌ
buyer	바이어	paiʌ
Weierstrass	바이어슈트라스	paiʌsjutʰɯlasɯ
bias	바이어스	paiʌsɯ
violation	바이얼레이션	paiʌlleisjʌn
baiera	바이에라	paiela
bio	바이오	paio
bionics	바이오닉스	paioniks͈ɯ
biorhythm	바이오리듬	paiolidɯm
bioreactor	바이오리액터	paioliɛktʰʌ
viomycin	바이오마이신	paiomaisin
biomass	바이오매스	paiomɛsɯ
biomechanics	바이오메카닉스	paiomekʰaniks͈ɯ
biometry	바이오메트리	paiometʰɯli
biosatellite	바이오새털라이트	paiosɛtʰʌllaitʰɯ
bioceramics	바이오세라믹스	paioselamiks͈ɯ
biosensor	바이오센서	paiosens͈ʌ
biosonar	바이오소나	paiosona
biochip	바이오칩	paiot͡ɕʰip
biocomputer	바이오컴퓨터	paiokʰʌmpʰjutʰʌ
biotechnology	바이오테크놀로지	paiotʰekʰɯnollod͡ɕi
biotron	바이오트론	paiotʰɯlon
biofarm	바이오팜	paiopʰam
biopak	바이오팩	paiopʰɛk
biofeedback	바이오피드백	paiopʰidɯbɛk
biohazard	바이오해저드	paiohɛd͡ɕʌdɯ
violet	바이올렛	paiollet
biology	바이올로지	paiollod͡ɕi
violinist	바이올리니스트	paiollinisɯtʰɯ
violin	바이올린	paiollin
biome	바이옴	paiom
biopsy	바이옵시	paiops͈i
Weizmann	바이츠만	pait͡ɕʰɯman
bicology	바이콜로지	paikʰollod͡ɕi
Viking	바이킹	paikʰiŋ
Vitaglass	바이타글라스	paitʰagɯllasɯ
vitalamp	바이타램프	paitʰalɛmpʰɯ
Vitallium	바이탈륨	paitʰalljum
vitascope	바이터스코프	paitʰʌsɯkʰopʰɯ
vitalism	바이털리즘	paitʰʌllid͡ɕɯm
bite	바이트	paitʰɯ
byte	바이트	paitʰɯ
biplane	바이플레인	paipʰɯllein
Weingartner	바인가르트너	paingalɯtʰɯnʌ
binder	바인더	paindʌ
binding	바인딩	paindiŋ
Weinheber	바인헤버	painhebʌ
bazar	바자	pad͡ɕa
Bazin	바쟁	pad͡ɕɛŋ
Basedow	바제도	pad͡ɕedo
Basel	바젤	pad͡ɕel
Vazov	바조프	pad͡ɕopʰɯ
bazooka	바주카	pad͡ɕukʰa
barge	바지	pad͡ɕi
basil	바질	pad͡ɕil
Bacchus	바커스	pakʰʌsɯ
Wackenroder	바켄로더	pakʰellodʌ
Bacchelli	바켈리	pakʰelli
bark	바크	pakʰɯ
Barkla	바클라	pakʰɯlla
baclofen	바클로펜	pakʰɯllopʰen
Bacchylides	바킬리데스	pakʰillidesɯ
Battani	바타니	patʰani
Batavia	바타비아	patʰabia
Bataille	바타유	patʰaju
Henry	헨리	helli
barter	바터	patʰʌ
bartender	바텐더	patʰendʌ
Watteau	바토	patʰo
Batoni	바토니	patʰoni
Batu	바투	patʰu
Batumi	바투미	patʰumi
Bartlett	바틀릿	patʰɯllit
Baty	바티	patʰi
Bahamas	바하마	pahama
Bahaism	바하이즘	pahaid͡ɕɯm
Bach	바흐	pahɯ
Bachofen	바흐오펜	pahɯopʰen
bahiagrass	바히아그라스	pahiagɯlasɯ
box	박스	paks͈ɯ
bacteroid	박테로이드	paktʰeloidɯ
bacteria	박테리아	paktʰelia
Bacteriorhodopsin	박테리오로돕신	paktʰeliolodops͈in
Bacteriocin	박테리오신	paktʰeliosin
bacteriophage	박테리오파지	paktʰeliopʰad͡ɕi
Bactria	박트리아	paktʰɯlia
barn	반	pan
vanda	반다	panda
vandalism	반달리즘	pandallid͡ɕɯm
Bandello	반델로	pandello
bandora	반도라	pandola
Bandoeng	반둥	panduŋ
bandicoot	반디쿠트	pandikʰutʰɯ
Bandjarmasin	반자르마신	pand͡ɕalɯmasin
bankyba	반키바	pankʰiba
Bantam	반탐	pantʰam
Banten	반텐	pantʰen
banteng	반텡	pantʰeŋ
Bantustan	반투스탄	pantʰusɯtʰan
BAL	발	pal
Balder	발데르	paldelɯ
Baldovinetti	발도비네티	paldobinetʰi
Baldung	발둥	palduŋ
Baldr	발드르	paldɯlɯ
Valla	발라	palla
Walras	발라	palla
Valadon	발라동	palladoŋ
balazone	발라존	pallad͡ɕon
Wallach	발라흐	pallahɯ
balalaika	발랄라이카	pallallaikʰa
Wallenstein	발렌슈타인	pallens͈jutʰain
Balenciaga	발렌시아가	pallens͈iaga
baluchitherium	발루키테리움	pallukʰitʰelium
volley	발리	palli
valine	발린	pallin
Balmer	발머	palmʌ
balboa	발보아	palboa
balsa	발사	pals͈a
balsam	발삼	pals͈am
Balzac	발자크	pald͡ɕakʰɯ
balcony	발코니	palkʰoni
Valkyrie	발키리	palkʰili
Waltari	발타리	paltʰali
Walther	발터	paltʰʌ
Valhalla	발할라	palhalla
bop	밥	pap
Bang	방	paŋ
bungalow	방갈로	paŋgallo
Benda	방다	paŋda
Banville	방빌	paŋbil
badlands	배드랜드	pɛdɯlɛndɯ
badminton	배드민턴	pɛdɯmintʰʌn
barrel	배럴	pɛlʌl
Barry	배리	pɛli
Barrie	배리	pɛli
varistor	배리스터	pɛlisɯtʰʌ
variotin	배리오틴	pɛliotʰin
varicap	배리캡	pɛlikʰɛp
Babbage	배비지	pɛbid͡ɕi
Babbitt	배빗	pɛbit
Bathurst	배서스트	pɛsʌsɯtʰɯ
bath	배스	pɛsɯ
Bagehot	배젓	pɛd͡ɕʌt
badge	배지	pɛd͡ɕi
battery	배터리	pɛtʰʌli
baton	배턴	pɛtʰʌn
vat	배트	pɛtʰɯ
bat	배트	pɛtʰɯ
batten	배튼	pɛtʰɯn
battik	배틱	pɛtʰik
batting	배팅	pɛtʰiŋ
Baffin	배핀	pɛpʰin
bag	백	pɛk
back	백	pɛk
backgammon	백개먼	pɛkk͈ɛmʌn
background	백그라운드	pɛkk͈ɯlaundɯ
backboard	백보드	pɛkp͈odɯ
backbone	백본	pɛkp͈on
backswing	백스윙	pɛks͈ɯwiŋ
Baxter	백스터	pɛks͈ɯtʰʌ
backstop	백스톱	pɛks͈ɯtʰop
backstretch	백스트레치	pɛks͈ɯtʰɯlet͡ɕʰi
vaccine	백신	pɛks͈in
backcourt	백코트	pɛkkʰotʰɯ
backfire	백파이어	pɛkpʰaiʌ
bagpipe	백파이프	pɛkpʰaipʰɯ
backpack	백팩	pɛkpʰɛk
backhand	백핸드	pɛkʰɛndɯ
VAN	밴	pɛn
band	밴드	pɛndɯ
bandwidth	밴드위스	pɛndɯwisɯ
bandage	밴디지	pɛndid͡ɕi
banjo	밴조	pɛnd͡ɕo
Vancouver	밴쿠버	pɛnkʰubʌ
vantage	밴티지	pɛntʰid͡ɕi
Banting	밴팅	pɛntʰiŋ
ballast	밸러스트	pɛllʌsɯtʰɯ
balance	밸런스	pɛllʌns͈ɯ
valley	밸리	pɛlli
valve	밸브	pɛlbɯ
Baptist	뱁티스트	pɛptʰisɯtʰɯ
banker	뱅커	pɛŋkʰʌ
bank	뱅크	pɛŋkʰɯ
banking	뱅킹	pɛŋkʰiŋ
bagasse	버개스	pʌgɛsɯ
bug	버그	pʌgɯ
burner	버너	pʌnʌ
Burnett	버넷	pʌnet
Burnet	버넷	pʌnet
Macfarlane	맥팔레인	mɛkpʰallein
Burney	버니	pʌni
vernier	버니어	pʌniʌ
Bunyan	버니언	pʌniʌn
Byrd	버드	pʌdɯ
birdie	버디	pʌdi
Burma	버마	pʌma
Vermont	버몬트	pʌmontʰɯ
vermiculite	버미큘라이트	pʌmikʰjullaitʰɯ
vermilion	버밀리온	pʌmillion
Birmingham	버밍엄	pʌmiŋʌm
verbascum	버배스컴	pʌbɛsɯkʰʌm
Burbank	버뱅크	pʌbɛŋkʰɯ
bourbon	버번	pʌbʌn
verbena	버베나	pʌbena
bubble	버블	pʌbɯl
bus	버스	pʌsɯ
berth	버스	pʌsɯ
burst	버스트	pʌsɯtʰɯ
bust	버스트	pʌsɯtʰɯ
bustle	버슬	pʌsɯl
buzzer	버저	pʌd͡ɕʌ
version	버전	pʌd͡ɕʌn
virginal	버지널	pʌd͡ɕinʌl
Virginia	버지니아	pʌd͡ɕinia
Virgil	버질	pʌd͡ɕil
virtual	버추얼	pʌt͡ɕʰuʌl
buccal	버컬	pʌkʰʌl
Birkhoff	버코프	pʌkʰopʰɯ
Burke	버크	pʌkʰɯ
buckram	버크럼	pʌkʰɯlʌm
Berkshire	버크셔	pʌkʰɯsjʌ
buckle	버클	pʌkʰɯl
berkelium	버클륨	pʌkʰɯlljum
Berkeley	버클리	pʌkʰɯlli
buckling	버클링	pʌkʰɯlliŋ
bucket	버킷	pʌkʰit
butter	버터	pʌtʰʌ
buttering	버터링	pʌtʰʌliŋ
buttermilk	버터밀크	pʌtʰʌmilkʰɯ
Burton	버턴	pʌtʰʌn
buttress	버트레스	pʌtʰɯlesɯ
button	버튼	pʌtʰɯn
Butler	버틀러	pʌtʰɯllʌ
butting	버팅	pʌtʰiŋ
buffer	버퍼	pʌpʰʌ
Buffalo	버펄로	pʌpʰʌllo
buffeting	버피팅	pʌpʰitʰiŋ
Buck	벅	pʌk
buckskin	벅스킨	pʌks͈ɯkʰin
bundle	번들	pʌndɯl
Byrnes	번스	pʌns͈ɯ
Burns	번스	pʌns͈ɯ
Bernstein	번스타인	pʌns͈ɯtʰain
Leonard	레너드	lenʌdɯ
Bunche	번치	pʌnt͡ɕʰi
bunt	번트	pʌntʰɯ
burlesque	벌레스크	pʌllesɯkʰɯ
balloon	벌룬	pʌllun
bulb	벌브	pʌlbɯ
Vulcan	벌컨	pʌlkʰʌn
bulk	벌크	pʌlkʰɯ
bulky	벌키	pʌlkʰi
bumper	범퍼	pʌmpʰʌ
bunker	벙커	pʌŋkʰʌ
begaton	베가톤	pegatʰon
Weygand	베강	pegaŋ
Wegener	베게너	pegenʌ
begonia	베고니아	pegonia
Begin	비긴	pigin
Benin	베냉	penɛŋ
Benjamin	벤저민	pend͡ɕʌmin
Benedict	베네딕트	penediktʰɯ
benedictine	베네딕틴	penediktʰin
Benelux	베네룩스	peneluks͈ɯ
Veneziano	베네치아노	penet͡ɕʰiano
bennettites	베네티테스	penetʰitʰesɯ
Bennett	베넷	penet
benomyl	베노밀	penomil
Venus	비너스	pinʌsɯ
Venetian	베니션	penisjʌn
veneer	베니어	peniʌ
Bethesda	베데스다	pedesɯda
Baedeker	베데커	pedekʰʌ
Wedekind	베데킨트	pedekʰintʰɯ
Bethel	베설	pesʌl
Bethell	베델	pedel
Beddoes	베도스	pedosɯ
Bethlehem	베들레헴	pedɯllehem
Veracruz	베라크루스	pelakʰɯlusɯ
verapamil	베라파밀	pelapʰamil
veranda	베란다	pelanda
Behrens	베렌스	pelens͈ɯ
Veronese	베로네세	pelonese
Veronica	베로니카	pelonikʰa
Verrocchio	베로키오	pelokʰio
Verga	베르가	pelɯga
Berger	버거	pʌgʌ
Bergengruen	베르겐그륀	pelɯgengɯlwin
Bergius	베르기우스	pelɯgiusɯ
Bernanos	베르나노스	pelɯnanosɯ
Bernhardt	베르나르	pelɯnalɯ
Beernaert	베르나르트	pelɯnalɯtʰɯ
Werner	베르너	pelɯnʌ
Verner	베르너	pelɯnʌ
Vernet	베르네	pelɯne
vernonia	베르노니아	pelɯnonia
Bernoulli	베르누이	pelɯnui
Bernini	베르니니	pelɯnini
Wernicke	베르니케	pelɯnikʰe
Verdi	베르디	pelɯdi
berberine	베르베린	pelɯbelin
Berzelius	베르셀리우스	pelɯselliusɯ
Vercors	베르코르	pelɯkʰolɯ
Berg	베르크	pelɯkʰɯ
Werther	베르테르	pelɯtʰelɯ
Berto	베르토	pelɯtʰo
Berthollet	베르톨레	pelɯtʰolle
Bertram	베르트람	pelɯtʰɯlam
Bertrand	베르트랑	pelɯtʰɯlaŋ
Berthelot	베르틀로	pelɯtʰɯllo
Werfel	베르펠	pelɯpʰel
Verhaeren	베르하렌	pelɯhalen
Verne	베른	pelɯn
Bernheim	베른하임	pelɯnhaim
Verlaine	베를렌	pelɯllen
Berlioz	베를리오즈	pelɯlliod͡ɕɯ
Hector	엑토르	ektʰolɯ
Berlinguer	베를링구에르	pelɯlliŋguelɯ
Bergman	베리만	peliman
variation	베리에이션	pelieisjʌn
beryllium	베릴륨	pelilljum
Behring	베링	peliŋ
bevatron	베바트론	pebatʰɯlon
Weber	베버	pebʌ
Beveridge	베버리지	pebʌlid͡ɕi
Bevan	베번	pebʌn
Webern	베베른	pebelɯn
Bebel	베벨	pebel
Bev	베브	pebɯ
Veblen	베블런	pebɯllʌn
Bevin	베빈	pebin
Bessarabia	베사라비아	pesalabia
Vesalius	베살리우스	pesalliusɯ
Bessemer	베서머	pesʌmʌ
Bessel	베셀	pesel
Vesaas	베소스	pesosɯ
Bes	베스	pesɯ
Vesta	베스타	pesɯtʰa
vest	베스트	pesɯtʰɯ
best	베스트	pesɯtʰɯ
Vespasianus	베스파시아누스	pesɯpʰasianusɯ
Vespucci	베스푸치	pesɯpʰut͡ɕʰi
Beatrice	베아트리체	peatʰɯlit͡ɕʰe
Baird	베어드	peʌdɯ
bearing	베어링	peʌliŋ
Behrman	베어먼	peʌmʌn
Beowulf	베어울프	peʌulpʰɯ
BRD	베에르데	peelɯde
Weil	베유	peju
bay	베이	pei
baby	베이비	peibi
bass	베이스	peisɯ
base	베이스	peisɯ
baseball	베이스볼	peisɯbol
Basie	베이시	peisi
BASIC	베이식	peisik
basic	베이식	peisik
beige	베이지	peid͡ɕi
Bates	베이츠	peit͡ɕʰɯ
Baker	베이커	peikʰʌ
bacon	베이컨	peikʰʌn
Bacon	베이컨	peikʰʌn
bakelite	베이클라이트	peikʰɯllaitʰɯ
Bateson	베이트슨	peitʰɯsɯn
veil	베일	peil
Beza	베자	ped͡ɕa
Betjeman	베처먼	pet͡ɕʰʌmʌn
Beccaria	베카리아	pekʰalia
Becket	베켓	pekʰet
Becque	베크	pekʰɯ
becquerel	베크렐	pekʰɯlel
beclomethasone	베클로메타손	pekʰɯllometʰason
betta	베타	petʰa
betamethasone	베타메타손	petʰametʰason
betacarotin	베타카로틴	petʰakʰalotʰin
betatron	베타트론	petʰatʰɯlon
better	베터	petʰʌ
Betelgeuse	베텔게우스	petʰelgeusɯ
Beethoven	베토벤	petʰoben
Vietminh	베트민	petʰɯmin
Vietcong	베트콩	petʰɯkʰoŋ
Betti	베티	petʰi
vetiver	베티베르	petʰibelɯ
Behaim	베하임	pehaim
Becher	베허	pehʌ
Behistun	베히스툰	pehisɯtʰun
vector	벡터	pektʰʌ
Vector	벡터	pektʰʌ
vectorscope	벡터스코프	pektʰʌsɯkʰopʰɯ
Behn	벤	pen
Benn	벤	pen
Venn	벤	pen
Bentham	벤담	pendam
Jeremy	제러미	t͡ɕelʌmi
vender	벤더	pendʌ
bend	벤드	pendɯ
Benzedrine	벤제드린	pend͡ɕedɯlin
benzene	벤젠	pend͡ɕen
Benzonatate	벤조나테이트	pend͡ɕonatʰeitʰɯ
benzonitrile	벤조니트릴	pend͡ɕonitʰɯlil
benzaldehyde	벤즈알데하이드	pend͡ɕɯaldehaidɯ
benzoquinone	벤조퀴논	pend͡ɕokʰwinon
benzophenone	벤조페논	pend͡ɕopʰenon
benzopyrene	벤조피렌	pend͡ɕopʰilen
benzol	벤졸	pend͡ɕol
benzidine	벤지딘	pend͡ɕidin
benzine	벤진	pend͡ɕin
benzyl	벤질	pend͡ɕil
Benz	벤츠	pent͡ɕʰɯ
bench	벤치	pent͡ɕʰi
bentonite	벤토나이트	pentʰonaitʰɯ
benthos	벤토스	pentʰosɯ
Venturi	벤투리	pentʰuli
vent	벤트	pentʰɯ
Ventris	벤트리스	pentʰɯlisɯ
Bel	벨	pel
Bayle	벨	pel
bell	벨	pel
belladonna	벨라도나	pelladona
Bellatrix	벨라트릭스	pellatʰɯliks͈ɯ
Bellamy	벨러미	pellʌmi
bellerphon	벨러폰	pellʌpʰon
Bellerophon	벨레로폰	pellelopʰon
belemnite	벨렘나이트	pellemnaitʰɯ
Bellona	벨로나	pellona
Beloperone	벨로페로네	pellopʰelone
velour	벨루어	pelluʌ
Bellini	벨리니	pellini
Belisarius	벨리사리우스	pellisaliusɯ
bellis	벨리스	pellisɯ
veliger	벨리저	pellid͡ɕʌ
Belize	벨리즈	pellid͡ɕɯ
Bellingshausen	벨링스하우젠	pelliŋs͈ɯhaud͡ɕen
Bellman	벨만	pelman
Belmopan	벨모판	pelmopʰan
velvet	벨벳	pelbet
belt	벨트	peltʰɯ
beltline	벨트라인	peltʰɯlain
Belfast	벨파스트	pelpʰasɯtʰɯ
Welhaven	벨하벤	pelhaben
Bembo	벰보	pembo
Bengal	벵골	peŋgol
VOGAD	보가드	pogadɯ
bogey	보기	pogi
Bonnard	보나르	ponalɯ
Bonaventura	보나벤투라	ponabentʰula
Bonaparte	보나파르트	ponapʰalɯtʰɯ
bonanzagram	보난자그램	ponand͡ɕagɯlɛm
bonang	보낭	ponaŋ
bonus	보너스	ponʌsɯ
Bonnet	보네	pone
bonellia	보넬리아	ponellia
Bonomi	보노미	ponomi
Bonifacius	보니파키우스	ponipʰakʰiusɯ
bonnet	보닛	ponit
Bonington	보닝턴	poniŋtʰʌn
Bodin	보댕	podɛŋ
border	보더	podʌ
Bode	보데	pode
Baudelaire	보들레르	podɯllelɯ
body	보디	podi
bodyguard	보디가드	podigadɯ
bodice	보디스	podisɯ
bodywork	보디워크	podiwʌkʰɯ
bora	보라	pola
borazon	보라존	polad͡ɕon
borazol	보라졸	polad͡ɕol
borane	보란	polan
Boreas	보레아스	poleasɯ
Borel	보렐	polel
Borrow	보로	polo
boronia	보로니아	polonia
Borromini	보로미니	polomini
Bordet	보르데	polɯde
Bordeaux	보르도	polɯdo
Borgia	보르자	polɯd͡ɕa
borzoi	보르조이	polɯd͡ɕoi
VORTAC	보르탁	polɯtʰak
bort	보르트	polɯtʰɯ
Borchardt	보르하르트	polɯhalɯtʰɯ
Borchert	보르헤르트	polɯhelɯtʰɯ
Borges	보르헤스	polɯhesɯ
Born	보른	polɯn
boring	보링	poliŋ
Boring	보링	poliŋ
Beaumarchais	보마르셰	pomalɯsje
Bowman	보먼	pomʌn
Beaumont	보몬트	pomontʰɯ
Vauban	보방	pobaŋ
Boveri	보베리	pobeli
Beauvoir	보부아르	pobualɯ
Vauvenargues	보브나르그	pobɯnalɯgɯ
bobcat	보브캣	pobɯkʰɛt
bobbin	보빈	pobin
Beauchamp	보샹	posjaŋ
boson	보손	poson
Bossuet	보쉬에	poswie
Bosch	보슈	posju
boss	보스	posɯ
Bose	보스	posɯ
Bosnia	보스니아	posɯnia
boston	보스턴	posɯtʰʌn
Boston	보스턴	posɯtʰʌn
boa	보아	poa
Boas	보애스	poɛsɯ
Boer	보어	poʌ
Bohr	보어	poʌ
Bowen	보엔	poen
Bolyai	보여이	pojʌi
Bojer	보예르	pojelɯ
Boye	보위에	powie
boy	보이	poi
voice	보이스	poisɯ
Beuys	보이스	poisɯ
Beust	보이스트	poisɯtʰɯ
Boise	보이시	poisi
Boiardo	보이아르도	poialɯdo
boycott	보이콧	poikʰot
boychoir	보이콰이어	poikʰwaiʌ
Buitenzorg	보이텐조르히	poitʰend͡ɕolɯhi
Boethius	보이티우스	poitʰiusɯ
voile	보일	poil
Boyle	보일	poil
boiler	보일러	poillʌ
bowing	보잉	poiŋ
Vaugelas	보줄라	pod͡ɕulla
Boswell	보즈웰	pod͡ɕɯwel
Bosanquet	보즌켓	pod͡ɕɯnkʰet
Boccioni	보초니	pot͡ɕʰoni
Umberto	움베르토	umbelɯtʰo
Botswana	보츠와나	pot͡ɕʰɯwana
Boccaccio	보카치오	pokʰat͡ɕʰio
Vaucanson	보캉송	pokʰaŋs͈oŋ
vocal	보컬	pokʰʌl
vocalist	보컬리스트	pokʰʌllisɯtʰɯ
Boccherini	보케리니	pokʰelini
vocoder	보코더	pokʰodʌ
balk	보크	pokʰɯ
balkline	보크라인	pokʰɯlain
bauxite	보크사이트	pokʰɯsaitʰɯ
Vauquelin	보클랭	pokʰɯllɛŋ
Botallo	보탈로	potʰallo
boater	보터	potʰʌ
Bothe	보테	potʰe
Botev	보테프	potʰepʰɯ
Botocudo	보토쿠도	potʰokʰudo
botulinus	보툴리누스	potʰullinusɯ
boat	보트	potʰɯ
bottleneck	보틀넥	potʰɯllek
vorticism	보티시즘	potʰisid͡ɕɯm
Botticelli	보티첼리	potʰit͡ɕʰelli
Beaufort	보퍼트	popʰʌtʰɯ
Bopp	보프	popʰɯ
Bohemia	보헤미아	pohemia
Bohemian	보헤미안	pohemian
boxer	복서	poks͈ʌ
boxing	복싱	poks͈iŋ
Vaughan	본	pon
bond	본드	pondɯ
Bonsels	본젤스	pond͡ɕels͈ɯ
bontebok	본테복	pontʰebok
Bontempelli	본템펠리	pontʰempʰelli
bowl	볼	pol
ball	볼	pol
Ball	볼	pol
bold	볼드	poldɯ
Baldwin	볼드윈	poldɯwin
bolometer	볼로미터	pollomitʰʌ
volume	볼륨	polljum
Bolivia	볼리비아	pollibia
bowling	볼링	polliŋ
volvox	볼복스	polboks͈ɯ
Bolshevism	볼셰비즘	pols͈jebid͡ɕɯm
bolson	볼슨	pols͈ɯn
Boltzmann	볼츠만	polt͡ɕʰɯman
Balch	볼치	polt͡ɕʰi
Volta	볼타	poltʰa
voltameter	볼타미터	poltʰamitʰʌ
Volterra	볼테라	poltʰela
Voltaire	볼테르	poltʰelɯ
boltonia	볼토니아	poltʰonia
volt	볼트	poltʰɯ
bolt	볼트	poltʰɯ
voltmeter	볼트미터	poltʰɯmitʰʌ
voltammetry	볼탐메트리	poltʰammetʰɯli
voltammeter	볼트암미터	poltʰɯammitʰʌ
Baltimore	볼티모어	poltʰimoʌ
Wolff	볼프	polpʰɯ
Eschenbach	에셴바흐	esjenbahɯ
WolfFerrari	볼프페라리	polpʰɯpʰelali
Bombay	봄베이	pombei
bobsled	봅슬레드	pops͈ɯlledɯ
bobsleigh	봅슬레이	pops͈ɯllei
bongo	봉고	poŋgo
Bougainville	부갱빌	pugɛŋbil
boogaloo	부걸루	pugʌllu
bougainvillaea	부겐빌레아	pugenbillea
boogie	부기	pugi
Bunin	부닌	punin
buddleia	부들레이아	pudɯlleia
Burundi	부룬디	pulundi
Bournonville	부르농빌	pulɯnoŋbil
Bourdelle	부르델	pulɯdel
Bourget	부르제	pulɯd͡ɕe
Bourgeois	부르주아	pulɯd͡ɕua
Burckhardt	부르크하르트	pulɯkʰɯhalɯtʰɯ
Boumedienne	부메디엔	pumedien
boomerang	부메랑	pumelaŋ
bouvardia	부바르디아	pubalɯdia
booby	부비	pubi
Busse	부세	puse
Boucher	부셰	pusje
bushel	부셸	pusjel
Busoni	부소니	pusoni
Busch	부슈	pusju
booth	부스	pusɯ
Booth	부스	pusɯ
booster	부스터	pusɯtʰʌ
Bush	부시	pusi
Bushman	부시먼	pusimʌn
bushbuck	부시벅	pusibʌk
bushing	부싱	pusiŋ
Boisguillebert	부아기유베르	puagijubelɯ
Boyer	부아예	puaje
Boileau	부알로	puallo
Vouet	부에	pue
Simon	사이먼	saimʌn
buoy	부이	pui
Bujumbura	부줌부라	pud͡ɕumbula
Buzzati	부차티	put͡ɕʰatʰi
Bukovina	부코비나	pukʰobina
butadiene	부타디엔	putʰadien
butazolidin	부타졸리딘	putʰad͡ɕollidin
butane	부탄	putʰan
Bhutan	부탄	putʰan
butanol	부탄올	putʰanol
bootstrap	부트스트랩	putʰɯsɯtʰɯlɛp
bootee	부티	putʰi
butylene	부틸렌	putʰillen
booting	부팅	putʰiŋ
Buch	부흐	puhɯ
Buchner	부흐너	puhɯnʌ
bookmark	북마크	puŋmakʰɯ
Bunsen	분젠	pund͡ɕen
Wundt	분트	puntʰɯ
Boole	불	pul
Boulle	불	pul
Bulgaria	불가리아	pulgalia
bulldog	불도그	puldogɯ
bulldozer	불도저	puldod͡ɕʌ
Boulanger	불랑제	pullaŋd͡ɕe
bully	불리	pulli
Vulcanus	불카누스	pulkʰanusɯ
bullterrier	불테리어	pultʰeliʌ
Bultmann	불트만	pultʰɯman
bullpen	불펜	pulpʰen
boom	붐	pum
Buddha	붓다	putt͈a
Buridan	뷔리당	pwilidaŋ
Buisson	뷔송	pwisoŋ
Vuillard	뷔야르	pwijalɯ
Buffon	뷔퐁	pwipʰoŋ
view	뷰	pju
bugle	뷰글	pjugɯl
viewdata	뷰데이터	pjudeitʰʌ
burette	뷰렛	pjulet
viewer	뷰어	pjuʌ
butte	뷰트	pjutʰɯ
beauty	뷰티	pjutʰi
viewpoint	뷰포인트	pjupʰointʰɯ
bdellium	브델륨	pɯdelljum
bra	브라	pɯla
Bragi	브라기	pɯlagi
Branner	브라네르	pɯlanelɯ
Brandes	브라네스	pɯlanesɯ
Brahma	브라마	pɯlama
Brahmagupta	브라마굽타	pɯlamaguptʰa
Bramante	브라만테	pɯlamantʰe
Brassens	브라상	pɯlasaŋ
brass	브라스	pɯlasɯ
Browning	브라우닝	pɯlauniŋ
browser	브라우저	pɯlaud͡ɕʌ
Browne	브라운	pɯlaun
Brown	브라운	pɯlaun
Bridie	브라이디	pɯlaidi
Bryce	브라이스	pɯlaisɯ
briar	브라이어	pɯlaiʌ
Bryan	브라이언	pɯlaiʌn
Bryant	브라이언트	pɯlaiʌntʰɯ
Bright	브라이트	pɯlaitʰɯ
brine	브라인	pɯlain
Brazil	브라질	pɯlad͡ɕil
brazilwood	브라질우드	pɯlad͡ɕiludɯ
Braque	브라크	pɯlakʰɯ
brachiosaurus	브라키오사우루스	pɯlakʰiosaulusɯ
Brahe	브라헤	pɯlahe
Brant	브란트	pɯlantʰɯ
Brandt	브란트	pɯlantʰɯ
Branting	브란팅	pɯlantʰiŋ
Brahm	브람	pɯlam
Brahms	브람스	pɯlams͈ɯ
Bragg	브래그	pɯlɛgɯ
Bradstreet	브래드스트리트	pɯlɛdɯsɯtʰɯlitʰɯ
Bradley	브래들리	pɯlɛdɯlli
Brady	브래디	pɯlɛdi
bradykinin	브래디키닌	pɯlɛdikʰinin
brassiere	브래지어	pɯlɛd͡ɕiʌ
brachiation	브래키에이션	pɯlɛkʰieisjʌn
bracket	브래킷	pɯlɛkʰit
Brattain	브래튼	pɯlɛtʰɯn
Bracton	브랙턴	pɯlɛktʰʌn
brand	브랜드	pɯlɛndɯ
brandy	브랜디	pɯlɛndi
Brangwyn	브랭귄	pɯlɛŋgwin
Frank	프랭크	pʰɯlɛŋkʰɯ
brush	브러시	pɯlʌsi
brushing	브러싱	pɯlʌsiŋ
Brundage	브런디지	pɯlʌndid͡ɕi
bredinin	브레디닌	pɯledinin
Brest	브레스트	pɯlesɯtʰɯ
Breslau	브레슬라우	pɯlesɯllau
braid	브레이드	pɯleidɯ
brace	브레이스	pɯleisɯ
breaker	브레이커	pɯleikʰʌ
brake	브레이크	pɯleikʰɯ
break	브레이크	pɯleikʰɯ
brakeshoe	브레이크슈	pɯleikʰɯsju
Braine	브레인	pɯlein
