a	에이	ei
Cisco	시스코	sisɯkʰo
Citronelle	시트로넬	sitʰɯlonel
city	시티	sitʰi
Claiborne	클레이본	kʰɯlleibon
Claibourne	클레이본	kʰɯlleibon
clamp	클램프	kʰɯllɛmpʰɯ
Clanton	클랜턴	kʰɯllɛntʰʌn
Clara	클라라	kʰɯllala
Clare	클레어	kʰɯlleʌ
Claremont	클레어몬트	kʰɯlleʌmontʰɯ
Claremore	클레어모어	kʰɯlleʌmoʌ
Clarence	클래런스	kʰɯllɛlʌns͈ɯ
Clarendon	클라렌든	kʰɯllalendɯn
Claribel	클레리벨	kʰɯllelibel
Clarinda	클라린다	kʰɯllalinda
clarinet	클라리넷	kʰɯllalinet
Clarion	클라리온	kʰɯllalion
Clarissa	클래리사	kʰɯllɛlisa
Clarita	클래리타	kʰɯllɛlitʰa
Clark	클라크	kʰɯllakʰɯ
CLARK	클락	kʰɯllak
Clarke	클라크	kʰɯllakʰɯ
Clarkesville	클라케스빌	kʰɯllakʰesɯbil
Clarkfield	클라크필드	kʰɯllakʰɯpʰildɯ
Clarkia	클라키아	kʰɯllakʰia
Clarking	클라킹	kʰɯllakʰiŋ
Clarksburg	클라크스버그	kʰɯllakʰɯsɯbʌgɯ
Clarksdale	클라크스데일	kʰɯllakʰɯsɯdeil
Clarksfield	클락스필드	kʰɯllaks͈ɯpʰildɯ
Clarkson	클락슨	kʰɯllaks͈ɯn
Clarkston	클라크스턴	kʰɯllakʰɯsɯtʰʌn
Clarksville	클라크스빌	kʰɯllakʰɯsɯbil
Clarno	클라노	kʰɯllano
Clary	클레어리	kʰɯlleʌli
class	클라스	kʰɯllasɯ
classic	클래식	kʰɯllɛsik
Claude	클로드	kʰɯllodɯ
Claudville	클라우드빌	kʰɯllaudɯbil
Claus	클라우스	kʰɯllausɯ
Clawson	클로슨	kʰɯllosɯn
Claxton	클랙스턴	kʰɯllɛks͈ɯtʰʌn
Clay	클레이	kʰɯllei
Clayton	클레이튼	kʰɯlleitʰɯn
clean	클린	kʰɯllin
Clear	클리어	kʰɯlliʌ
Clearbrook	클리어브룩	kʰɯlliʌbɯluk
Clearfield	클리어필드	kʰɯlliʌpʰildɯ
Clearlake	클리어레이크	kʰɯlliʌleikʰɯ
Clearview	클리어뷰	kʰɯlliʌbju
Clearwater	클리어워터	kʰɯlliʌwʌtʰʌ
Cleburne	클리번	kʰɯllibʌn
Clements	클레멘츠	kʰɯllement͡ɕʰɯ
Clemons	클레먼스	kʰɯllemʌns͈ɯ
Clemson	클렘슨	kʰɯllems͈ɯn
Cleone	클레온	kʰɯlleon
Cleora	클레오라	kʰɯlleola
Clermont	클레몬트	kʰɯllemontʰɯ
Cleveland	클리블랜드	kʰɯllibɯllɛndɯ
Clever	클레버	kʰɯllebʌ
Cleves	클리브스	kʰɯllibɯsɯ
Clewiston	클루이스턴	kʰɯlluisɯtʰʌn
click	클릭	kʰɯllik
client	클라이언트	kʰɯllaiʌntʰɯ
Cliff	클리프턴	kʰɯllipʰɯtʰʌn
Clifford	클리포드	kʰɯllipʰodɯ
Clifton	클리프턴	kʰɯllipʰɯtʰʌn
climax	클라이맥스	kʰɯllaimɛks͈ɯ
Climax	클라이맥스	kʰɯllaimɛks͈ɯ
climbing	클라이밍	kʰɯllaimiŋ
Clint	클린트	kʰɯllintʰɯ
Clinton	클린턴	kʰɯllintʰʌn
Clintonville	클린튼빌	kʰɯllintʰɯnbil
Clintwood	클린트우드	kʰɯllintʰɯudɯ
Clio	클리오	kʰɯllio
clip	클립	kʰɯllip
clipboard	클립보드	kʰɯllipp͈odɯ
Clitherall	클라이서럴	kʰɯllaisʌlʌl
clitoris	클리토리스	kʰɯllitʰolisɯ
Clive	클라이브	kʰɯllaibɯ
Cloncurry	클론커리	kʰɯllonkʰʌli
Cloquet	클로켓	kʰɯllokʰet
Clothier	클로시어	kʰɯllosiʌ
cloud	클라우드	kʰɯllaudɯ
Cloudland	클라우드랜드	kʰɯllaudɯlɛndɯ
Cloudy	클라우디	kʰɯllaudi
Cloutierville	클라우티어빌	kʰɯllautʰiʌbil
clover	클로버	kʰɯllobʌ
Clover	클로버	kʰɯllobʌ
Cloverdale	클로버데일	kʰɯllobʌdeil
Cloverland	클로버랜드	kʰɯllobʌlɛndɯ
Cloverleaf	클로버리프	kʰɯllobʌlipʰɯ
Clovis	클로비스	kʰɯllobisɯ
Clow	클로우	kʰɯllou
club	클럽	kʰɯllʌp
Clubb	클럽	kʰɯllʌp
clutch	클러치	kʰɯllʌt͡ɕʰi
Clute	클루트	kʰɯllutʰɯ
Clutier	클러티어	kʰɯllʌtʰiʌ
Clyde	클라이드	kʰɯllaidɯ
Clyman	클라이먼	kʰɯllaimʌn
Clymer	클라이머	kʰɯllaimʌ
Clymers	클라이머스	kʰɯllaimʌsɯ
Clyo	클라이요	kʰɯllaijo
coach	코치	kʰot͡ɕʰi
Coachella	코첼라	kʰot͡ɕʰella
Coalburg	콜버그	kʰolbʌgɯ
Coalgate	콜게이트	kʰolgeitʰɯ
Coaling	콜링	kʰolliŋ
Coalinga	콜링가	kʰolliŋga
Coalwood	콜우드	kʰoludɯ
Coarsegold	코어스골드	kʰoʌsɯgoldɯ
coat	코트	kʰotʰɯ
Coates	코티스	kʰotʰisɯ
Coatesville	코츠빌	kʰot͡ɕʰɯbil
coating	코팅	kʰotʰiŋ
Coats	코츠	kʰot͡ɕʰɯ
cobalt	코발트	kʰobaltʰɯ
Cobalt	코발트	kʰobaltʰɯ
Cobb	코브	kʰobɯ
Cobleskill	코블스킬	kʰobɯls͈ɯkʰil
COBOL	코볼	kʰobol
cobra	코브라	kʰobɯla
Coburg	코버그	kʰobʌgɯ
Coburn	코번	kʰobʌn
Cochise	코치스	kʰot͡ɕʰisɯ
Cochran	코크런	kʰokʰɯlʌn
cock	콕	kʰok
cocktail	칵테일	kʰaktʰeil
cocoa	코코아	kʰokʰoa
Cocoa	코코아	kʰokʰoa
Cocodrie	코코드리	kʰokʰodɯli
coconut	코코넛	kʰokʰonʌt
Cocos	코코스	kʰokʰosɯ
Coddington	코딩턴	kʰodiŋtʰʌn
code	코드	kʰodɯ
codec	코덱	kʰodek
Codec	코덱	kʰodek
Coden	코덴	kʰoden
Cody	코디	kʰodi
Coesse	코이스	kʰoisɯ
coex	코엑스	kʰoeks͈ɯ
coffee	커피	kʰʌpʰi
Coffeen	커핀	kʰʌpʰin
Coffeeville	커피빌	kʰʌpʰibil
Coffey	코피	kʰopʰi
Coffeyville	커피빌	kʰʌpʰibil
Cogar	코가	kʰoga
Cohasset	코하셋	kʰohaset
coil	코일	kʰoil
Coila	코일라	kʰoilla
coin	코인	kʰoin
Coin	코인	kʰoin
Cokato	코카토	kʰokʰatʰo
Coker	코커	kʰokʰʌ
Cokesbury	코크스베리	kʰokʰɯsɯbeli
Coketown	코크타운	kʰokʰɯtʰaun
cola	콜라	kʰolla
Colbert	콜버트	kʰolbʌtʰɯ
Colburn	콜번	kʰolbʌn
Colby	콜비	kʰolbi
Colchester	콜체스터	kʰolt͡ɕʰesɯtʰʌ
Colcord	콜코드	kʰolkʰodɯ
Colden	콜든	kʰoldɯn
Coldspring	콜드스프링	kʰoldɯsɯpʰɯliŋ
Coldwater	콜드워터	kʰoldɯwʌtʰʌ
Cole	콜	kʰol
Colebrook	콜브룩	kʰolbɯluk
Coleharbor	콜하버	kʰolhabʌ
Coleman	콜먼	kʰolmʌn
Colerain	콜레인	kʰollein
Coleraine	콜러레인	kʰollʌlein
Coles	콜스	kʰols͈ɯ
Colesburg	콜스버그	kʰols͈ɯbʌgɯ
Colesville	콜스빌	kʰols͈ɯbil
Coleville	콜빌	kʰolbil
Colfax	콜팩스	kʰolpʰɛks͈ɯ
Colgate	콜게이트	kʰolgeitʰɯ
collaboration	콜라보레이션	kʰollaboleisjʌn
Collamer	콜라머	kʰollamʌ
collar	카라	kʰala
collection	컬렉션	kʰʌlleks͈jʌn
college	칼리지	kʰallid͡ɕi
Collegedale	칼리지데일	kʰallid͡ɕideil
coller	칼라	kʰalla
Colleyville	콜리빌	kʰollibil
Colliers	콜리어스	kʰolliʌsɯ
Collierville	콜리에빌	kʰolliebil
Collingwood	콜링우드	kʰolliŋudɯ
Collins	콜린스	kʰollins͈ɯ
Collinsville	콜린스빌	kʰollins͈ɯbil
Collinwood	콜린우드	kʰollinudɯ
Collison	콜리슨	kʰollisɯn
Collista	콜리스타	kʰollisɯtʰa
colloid	콜로이드	kʰolloidɯ
Collyer	콜리어	kʰolliʌ
Colma	콜마	kʰolma
Colmar	콜마	kʰolma
Colo	콜로	kʰollo
Cologne	콜롱	kʰolloŋ
Coloma	콜로마	kʰolloma
Colombia	콜롬비아	kʰollombia
Colombo	콜롬보	kʰollombo
Colome	콜롬	kʰollom
Colona	콜로나	kʰollona
color	칼라	kʰalla
Colora	콜로라	kʰollola
Colorado	콜로라도	kʰollolado
Colquitt	콜킷	kʰolkʰit
Colstrip	콜스트립	kʰols͈ɯtʰɯlip
Colt	콜트	kʰoltʰɯ
Colton	콜턴	kʰoltʰʌn
Columbia	컬럼비아	kʰʌllʌmbia
Columbiana	컬럼비아나	kʰʌllʌmbiana
Columbo	콜럼보	kʰollʌmbo
Columbus	콜롬버스	kʰollombʌsɯ
column	칼럼	kʰallʌm
columnist	칼럼니스트	kʰallʌmnisɯtʰɯ
Colusa	콜루사	kʰollusa
Colville	콜빌	kʰolbil
Colwell	콜웰	kʰolwel
Comanche	코만치	kʰomant͡ɕʰi
Combes	콤스	kʰoms͈ɯ
combine	컴바인	kʰʌmbain
Combine	컴바인	kʰʌmbain
Combs	콤스	kʰoms͈ɯ
COMDEX	컴덱스	kʰʌmdeks͈ɯ
come	컴	kʰʌm
comedy	코메디	kʰomedi
Comer	커머	kʰʌmʌ
Comertown	코머타운	kʰomʌtʰaun
Comfort	컴포트	kʰʌmpʰotʰɯ
Comfrey	콤프리	kʰompʰɯli
comic	코믹	kʰomik
comics	코믹스	kʰomiks͈ɯ
comma	콤마	kʰomma
commerce	커머스	kʰʌmʌsɯ
Commerce	커머스	kʰʌmʌsɯ
commercial	커머셜	kʰʌmʌsjʌl
commission	코미션	kʰomisjʌn
Commonwealth	커먼웰스	kʰʌmʌnwels͈ɯ
communication	커뮤니케이션	kʰʌmjunikʰeisjʌn
communism	코뮤니즘	kʰomjunid͡ɕɯm
community	커뮤니티	kʰʌmjunitʰi
Comox	커먹스	kʰʌmʌks͈ɯ
compact	컴펙트	kʰʌmpʰektʰɯ
company	컴퍼니	kʰʌmpʰʌni
compass	컴퍼스	kʰʌmpʰʌsɯ
Competition	컴페티션	kʰʌmpʰetʰisjʌn
compiler	컴파일러	kʰʌmpʰaillʌ
Compinion	컴피니온	kʰʌmpʰinion
complex	콤플렉스	kʰompʰɯlleks͈ɯ
compress	콤프레스	kʰompʰɯlesɯ
Compton	컴튼	kʰʌmtʰɯn
computer	컴퓨터	kʰʌmpʰjutʰʌ
computocracy	컴퓨토크라시	kʰʌmpʰjutʰokʰɯlasi
computopia	컴퓨토피아	kʰʌmpʰjutʰopʰia
Comstock	콤스톡	kʰoms͈ɯtʰok
Conant	코넌트	kʰonʌntʰɯ
Conaway	코너웨이	kʰonʌwei
concent	콘센트	kʰons͈entʰɯ
Conception	컨셉션	kʰʌns͈eps͈jʌn
concert	콘서트	kʰons͈ʌtʰɯ
Concho	콘초	kʰont͡ɕʰo
Conconully	코코널리	kʰokʰonʌlli
Concord	콩코드	kʰoŋkʰodɯ
Concordia	컨커디아	kʰʌnkʰʌdia
concrete	콘크리트	kʰonkʰɯlitʰɯ
Concrete	콘크리트	kʰonkʰɯlitʰɯ
Conda	콘다	kʰonda
Conde	콩데	kʰoŋde
condition	컨디션	kʰʌndisjʌn
condom	콘돔	kʰondom
condominium	콘도미니엄	kʰondominiʌm
Condon	콘던	kʰondʌn
Conestoga	코네스토가	kʰonesɯtʰoga
Conesus	코네서스	kʰonesʌsɯ
Confidence	컨피던스	kʰʌnpʰidʌns͈ɯ
Conger	콩어	kʰoŋʌ
Congo	콩고	kʰoŋgo
Conifer	코니퍼	kʰonipʰʌ
Conklin	콘클린	kʰonkʰɯllin
Conley	콘리	kʰolli
Conneaut	코니어트	kʰoniʌtʰɯ
connect	커넥트	kʰʌnektʰɯ
Connecticut	코네티컷	kʰonetʰikʰʌt
Connell	코널	kʰonʌl
Connersville	코너스빌	kʰonʌsɯbil
Conover	코노버	kʰonobʌ
Conrad	콘래드	kʰollɛdɯ
Conran	콘란	kʰollan
Conroe	콘로	kʰollo
Conroy	콘로이	kʰolloi
console	콘솔	kʰons͈ol
consortium	컨소시엄	kʰʌns͈osiʌm
Constable	콘스터블	kʰons͈ɯtʰʌbɯl
Constantia	콘스탄시아	kʰons͈ɯtʰans͈ia
Constantine	콘스탄틴	kʰons͈ɯtʰantʰin
Constitution	컨스티투션	kʰʌns͈ɯtʰitʰusjʌn
Consul	콘슐	kʰons͈jul
consultant	컨설턴트	kʰʌns͈ʌltʰʌntʰɯ
consultation	컨설테이션	kʰʌns͈ʌltʰeisjʌn
container	컨테이너	kʰʌntʰeinʌ
contct	콘택트	kʰontʰɛktʰɯ
conte	콩트	kʰoŋtʰɯ
Contemporary	컨템퍼러리	kʰʌntʰempʰʌlʌli
contents	콘텐츠	kʰontʰent͡ɕʰɯ
contest	콘테스트	kʰontʰesɯtʰɯ
conti	콘티	kʰontʰi
contralto	콘트랄토	kʰontʰɯlaltʰo
contrast	콘트라스트	kʰontʰɯlasɯtʰɯ
control	컨트롤	kʰʌntʰɯlol
controller	컨트롤러	kʰʌntʰɯlollʌ
Convent	콘벤트	kʰonbentʰɯ
Converse	컨버스	kʰʌnbʌsɯ
converter	컨버터	kʰʌnbʌtʰʌ
conveyor	컨베이어	kʰʌnbeiʌ
Conway	콘웨이	kʰonwei
Conyers	코니어스	kʰoniʌsɯ
Cook	쿡	kʰuk
Cookeville	쿡빌	kʰukp͈il
cookie	쿠키	kʰukʰi
cooking	쿠킹	kʰukʰiŋ
Cooktown	쿡타운	kʰuktʰaun
cooky	쿠키	kʰukʰi
cool	쿨	kʰul
Cool	쿨	kʰul
Coolgardie	쿨가디	kʰulgadi
Coon	쿤	kʰun
Cooper	쿠퍼	kʰupʰʌ
Coopers	쿠퍼스	kʰupʰʌsɯ
Cooperstown	쿠퍼즈타운	kʰupʰʌd͡ɕɯtʰaun
Coopersville	쿠퍼스빌	kʰupʰʌsɯbil
Cooperton	쿠퍼턴	kʰupʰʌtʰʌn
coordinator	코디네이터	kʰodineitʰʌ
Cooter	쿠터	kʰutʰʌ
Copake	코페이크	kʰopʰeikʰɯ
Copan	코팬	kʰopʰɛn
Cope	코프	kʰopʰɯ
Copeland	코프랜드	kʰopʰɯlɛndɯ
Copen	코펜	kʰopʰen
Copenhagen	코펜하겐	kʰopʰenhagen
Coppell	코펠	kʰopʰel
Coppock	카포크	kʰapʰokʰɯ
copy	카피	kʰapʰi
Cora	코라	kʰola
Coralville	코럴빌	kʰolʌlbil
Corbett	코베트	kʰobetʰɯ
Corbin	코빈	kʰobin
Corcoran	콜코란	kʰolkʰolan
cord	코드	kʰodɯ
Cordele	코델	kʰodel
Cordelia	코델리아	kʰodellia
Cordell	코델	kʰodel
Corder	코더	kʰodʌ
Cordoba	코르도바	kʰolɯdoba
Cordova	코도바	kʰodoba
core	코어	kʰoʌ
Corinna	코리나	kʰolina
Corinne	코린	kʰolin
Corinth	코린트	kʰolintʰɯ
cork	코르크	kʰolɯkʰɯ
Corley	콜리	kʰolli
corn	콘	kʰon
Cornelia	코닐리아	kʰonillia
Cornelius	코넬리우스	kʰonelliusɯ
Cornell	코넬	kʰonel
corner	코너	kʰonʌ
Cornersville	코너스빌	kʰonʌsɯbil
Corning	코닝	kʰoniŋ
Cornish	코니시	kʰonisi
Cornland	콘랜드	kʰollɛndɯ
cornstarch	콘스타치	kʰons͈ɯtʰat͡ɕʰi
Cornucopia	코르누코피아	kʰolɯnukʰopʰia
Cornwall	콘월	kʰonwʌl
Cornwell	콘웰	kʰonwel
Corolla	코롤라	kʰololla
Coromandel	코로만델	kʰolomandel
Corona	코로나	kʰolona
Coronado	코로나도	kʰolonado
corporation	코퍼레이션	kʰopʰʌleisjʌn
Corral	코랄	kʰolal
Correll	코렐	kʰolel
Corrigan	코리건	kʰoligʌn
Corry	코리	kʰoli
Corsica	코르시카	kʰolɯsikʰa
Corsicana	코르시카나	kʰolɯsikʰana
Corso	코소	kʰoso
Cortana	코타나	kʰotʰana
Cortez	코르테즈	kʰolɯtʰed͡ɕɯ
Cortland	코틀랜드	kʰotʰɯllɛndɯ
Cortlandt	코틀랜트	kʰotʰɯllɛntʰɯ
Corton	코턴	kʰotʰʌn
Corunna	코러나	kʰolʌna
Corvallis	코르발리스	kʰolɯballisɯ
Corydon	코리든	kʰolidɯn
cos	코스어	kʰosɯʌ
Cosby	코스비	kʰosɯbi
Cosgrove	코스그로브	kʰosɯgɯlobɯ
Coshocton	코쇽턴	kʰosjoktʰʌn
cosmetic	코스메틱	kʰosɯmetʰik
Cosmopolis	코스모폴리스	kʰosɯmopʰollisɯ
cosmos	코스모스	kʰosɯmosɯ
Cosmos	코스모스	kʰosɯmosɯ
cost	코스트	kʰosɯtʰɯ
costco	코스트코	kʰosɯtʰɯkʰo
Cotati	코타티	kʰotʰatʰi
Cotonou	코토누	kʰotʰonu
Cotopaxi	코토팍시	kʰotʰopʰaks͈i
cotter	코터	kʰotʰʌ
Cottle	코틀	kʰotʰɯl
Cottleville	코틀빌	kʰotʰɯlbil
Cotton	코튼	kʰotʰɯn
Cottondale	코튼데일	kʰotʰɯndeil
Cottonwood	코튼우드	kʰotʰɯnudɯ
Cottrell	코트렐	kʰotʰɯlel
couch	카우치	kʰaut͡ɕʰi
Couch	카우치	kʰaut͡ɕʰi
couchsurfing	카우치서핑	kʰaut͡ɕʰisʌpʰiŋ
Cougar	쿠거	kʰugʌ
Coulter	콜터	kʰoltʰʌ
Counce	카운스	kʰauns͈ɯ
Council	카운실	kʰauns͈il
count	카운트	kʰauntʰɯ
countdown	카운트다운	kʰauntʰɯdaun
counter	카운터	kʰauntʰʌ
country	컨트리	kʰʌntʰɯli
Countryside	컨트리사이드	kʰʌntʰɯlisaidɯ
Coupland	커플랜드	kʰʌpʰɯllɛndɯ
couple	커플	kʰʌpʰɯl
coupon	쿠폰	kʰupʰon
couponmoa	쿠폰모아	kʰupʰonmoa
course	코스	kʰosɯ
courseware	코스웨어	kʰosɯweʌ
Courtenay	코트네이	kʰotʰɯnei
Courteney	코트니	kʰotʰɯni
Courter	코터	kʰotʰʌ
Courtland	코트랜드	kʰotʰɯlɛndɯ
Courtney	코트니	kʰotʰɯni
Courtois	쿠르토아	kʰulɯtʰoa
Coushatta	쿠샤타	kʰusjatʰa
Cove	코브	kʰobɯ
Covel	코벨	kʰobel
Coventry	코벤트리	kʰobentʰɯli
cover	커버	kʰʌbʌ
Covert	코버트	kʰobʌtʰɯ
Covina	코비나	kʰobina
Covington	코빙턴	kʰobiŋtʰʌn
Coward	코워드	kʰowʌdɯ
Cowart	코워트	kʰowʌtʰɯ
cowboy	카우보이	kʰauboi
Cowdrey	카우드리	kʰaudɯli
Cowen	코웬	kʰowen
Coweta	코위타	kʰowitʰa
Cowgill	카우길	kʰaugil
Cowley	카울리	kʰaulli
Cowling	카울링	kʰaulliŋ
Cox	콕스	kʰoks͈ɯ
Coxsackie	콕새키	kʰoks͈ɛkʰi
Coy	코이	kʰoi
Coyle	코일	kʰoil
Coyote	코요테	kʰojotʰe
Cozad	코자드	kʰod͡ɕadɯ
crab	크랩	kʰɯlɛp
Crabapple	크랩애플	kʰɯlɛbɛpʰɯl
Crabb	크랩	kʰɯlɛp
Crabtree	크랩트리	kʰɯlɛptʰɯli
cracker	크래커	kʰɯlɛkʰʌ
Cracker	크래커	kʰɯlɛkʰʌ
Crafton	크래프턴	kʰɯlɛpʰɯtʰʌn
Craig	크레이그	kʰɯleigɯ
Cramers	크레이머스	kʰɯleimʌsɯ
Cramerton	크레머턴	kʰɯlemʌtʰʌn
Cranbrook	크랜브룩	kʰɯlɛnbɯluk
Crandall	크랜들	kʰɯlɛndɯl
Crandon	크랜든	kʰɯlɛndɯn
crane	크레인	kʰɯlein
Cranston	크랜스턴	kʰɯlɛns͈ɯtʰʌn
Crary	크레리	kʰɯleli
Crawford	크로퍼드	kʰɯlopʰʌdɯ
Crawfordsville	크로퍼즈빌	kʰɯlopʰʌd͡ɕɯbil
Crawfordville	크로포드빌	kʰɯlopʰodɯbil
crawler	크롤러	kʰɯlollʌ
crayon	크레용	kʰɯlejoŋ
crazy	크레이지	kʰɯleid͡ɕi
Crazyarcade	크레이지아케이드	kʰɯleid͡ɕiakʰeidɯ
cream	크림	kʰɯlim
create	크리트	kʰɯlitʰɯ
creator	크리에이터	kʰɯlieitʰʌ
Crede	크리드	kʰɯlidɯ
Creede	크리드	kʰɯlidɯ
Creedmoor	크리드무어	kʰɯlidɯmuʌ
Creekside	크리크사이드	kʰɯlikʰɯsaidɯ
Creighton	크레이턴	kʰɯleitʰʌn
Crellin	크렐린	kʰɯlellin
Crenshaw	크렌쇼	kʰɯlens͈jo
Creola	크레올라	kʰɯleolla
Cresco	크레스코	kʰɯlesɯkʰo
Cressey	크레시	kʰɯlesi
Crestline	크레스틀라인	kʰɯlesɯtʰɯllain
Creston	크레스턴	kʰɯlesɯtʰʌn
Crestone	크레스톤	kʰɯlesɯtʰon
Crestview	크레스트뷰	kʰɯlesɯtʰɯbju
Crestwood	크레스트우드	kʰɯlesɯtʰɯudɯ
Crete	크리트	kʰɯlitʰɯ
Crewe	크루	kʰɯlu
Crichton	크라이턴	kʰɯlaitʰʌn
cricket	크리켓	kʰɯlikʰet
Criders	크라이더스	kʰɯlaidʌsɯ
Crisfield	크리스필드	kʰɯlisɯpʰildɯ
Crisp	크리스프	kʰɯlisɯpʰɯ
Crittenden	크리텐던	kʰɯlitʰendʌn
Critz	크리츠	kʰɯlit͡ɕʰɯ
Croaker	크로커	kʰɯlokʰʌ
Croatia	크로아티아	kʰɯloatʰia
Crocker	크로커	kʰɯlokʰʌ
Crockett	크로켓	kʰɯlokʰet
Crofton	크로프턴	kʰɯlopʰɯtʰʌn
Cromwell	크롬웰	kʰɯlomwel
Crook	크룩	kʰɯluk
Crookston	크룩스턴	kʰɯluks͈ɯtʰʌn
Croom	크룸	kʰɯlum
Crosby	크로스비	kʰɯlosɯbi
cross	크로스	kʰɯlosɯ
Crossgate	크로스게이트	kʰɯlosɯgeitʰɯ
Crossland	크로스랜드	kʰɯlosɯlɛndɯ
Crosstimbers	크로스팀버스	kʰɯlosɯtʰimbʌsɯ
Crossville	크로스빌	kʰɯlosɯbil
Crosswick	크로스위크	kʰɯlosɯwikʰɯ
Crothersville	크로더스빌	kʰɯlodʌsɯbil
Crouch	크라우치	kʰɯlaut͡ɕʰi
Crow	크로우	kʰɯlou
Crowd	크라우드	kʰɯlaudɯ
Crowder	크라우더	kʰɯlaudʌ
Crowell	크로웰	kʰɯlowel
Crowley	크로울리	kʰɯloulli
crown	크라운	kʰɯlaun
Crown	크라운	kʰɯlaun
Croydon	크로이던	kʰɯloidʌn
Cruger	크루거	kʰɯlugʌ
cruise	크루즈	kʰɯlud͡ɕɯ
Crum	크럼	kʰɯlʌm
Crump	크럼프	kʰɯlʌmpʰɯ
Crumpler	클럼플러	kʰɯllʌmpʰɯllʌ
crusher	크러셔	kʰɯlʌsjʌ
Crusoe	크루소	kʰɯluso
crutch	크러치	kʰɯlʌt͡ɕʰi
crystal	크리스탈	kʰɯlisɯtʰal
Crystal	크리스탈	kʰɯlisɯtʰal
Cuba	쿠바	kʰuba
Cuchara	쿠차라	kʰut͡ɕʰala
Cuckoo	쿠쿠	kʰukʰu
Cucumber	쿠쿰버	kʰukʰumbʌ
Cudahy	쿠더헤이	kʰudʌhei
cue	큐	kʰju
Cuero	쿠에로	kʰuelo
Cuiaba	쿠이아바	kʰuiaba
Culdesac	컬드삭	kʰʌldɯsak
Cullen	컬렌	kʰʌllen
Cullman	쿨만	kʰulman
Culpeper	컬페퍼	kʰʌlpʰepʰʌ
Culpepper	컬페퍼	kʰʌlpʰepʰʌ
cultivator	컬티베이터	kʰʌltʰibeitʰʌ
culture	컬처	kʰʌlt͡ɕʰʌ
Culver	컬버	kʰʌlbʌ
Cumberland	컴벌랜드	kʰʌmbʌllɛndɯ
Cumby	컴비	kʰʌmbi
Cumming	커밍	kʰʌmiŋ
Cummings	커밍스	kʰʌmiŋs͈ɯ
Cummington	커밍턴	kʰʌmiŋtʰʌn
Cunard	커나드	kʰʌnadɯ
Cunningham	커닝햄	kʰʌniŋhɛm
cup	컵	kʰʌp
Cupertino	쿠퍼티노	kʰupʰʌtʰino
cupid	큐피드	kʰjupʰidɯ
cuplike	컵라이크	kʰʌmnaikʰɯ
curator	큐레이터	kʰjuleitʰʌ
Curitiba	쿠리티바	kʰulitʰiba
Curlew	컬루	kʰʌllu
Curran	커랜	kʰʌlɛn
Currant	커랜드	kʰʌlɛndɯ
Currie	커리	kʰʌli
Currituck	커리턱	kʰʌlitʰʌk
curry	카레	kʰale
Curry	커리	kʰʌli
cursor	커서	kʰʌsʌ
curtain	커텐	kʰʌtʰen
Curtis	커티스	kʰʌtʰisɯ
curve	커브	kʰʌbɯ
cuscom	커스컴	kʰʌsɯkʰʌm
Cushing	쿠싱	kʰusiŋ
cushion	쿠션	kʰusjʌn
Cushman	쿠쉬먼	kʰuswimʌn
Cusseta	쿠세타	kʰusetʰa
Cusson	쿠손	kʰuson
Custer	커스터	kʰʌsɯtʰʌ
custom	커스텀	kʰʌsɯtʰʌm
cut	컷	kʰʌt
Cuthbert	커스버트	kʰʌsɯbʌtʰɯ
Cutler	커틀러	kʰʌtʰɯllʌ
cutter	커터	kʰʌtʰʌ
cyan	시안	sian
cyber	사이버	saibʌ
cyberapt	사이버아파트	saibʌapʰatʰɯ
cyberliteracy	사이버리터러시	saibʌlitʰʌlʌsi
cybernetics	사이버네틱스	saibʌnetʰiks͈ɯ
cyberslacking	사이버슬래킹	saibʌsɯllɛkʰiŋ
cyberspy	사이버스파이	saibʌsɯpʰai
cybersquatting	사이버스쿼팅	saibʌsɯkʰwʌtʰiŋ
cyberterror	사이버테러	saibʌtʰelʌ
cycle	사이클	saikʰɯl
cyclone	사이클론	saikʰɯllon
cylinder	실린더	sillindʌ
Cylon	실론	sillon
Cynthiana	신시아나	sins͈iana
Cypress	사이프러스	saipʰɯlʌsɯ
Cyprus	키프로스	kʰipʰɯlosɯ
Cyril	시릴	silil
Cyrus	사이러스	sailʌsɯ
Czar	차르	t͡ɕʰalɯ
Czechville	체크빌	t͡ɕʰekʰɯbil
d	디	ti
D'Iberville	디베르빌	tibelɯbil
D'Lo	딜로	tillo
Dabney	다브니	tabɯni
Dacada	다카다	takʰada
Dacoma	다코마	takʰoma
Dacula	다큘라	takʰjulla
dadaism	다다이즘	tadaid͡ɕɯm
Dadeville	데이드빌	teidɯbil
Daewoo	대우	tɛu
Daggett	대거트	tɛgʌtʰɯ
Dahinda	다힌다	tahinda
Dahlia	달리아	tallia
Dahlonega	달로네가	tallonega
Dahmer	다머	tamʌ
Dahoma	다호마	tahoma
Dailey	데일리	teilli
daily	데일리	teilli
Dairy	데어리	teʌli
Dairyland	데어리랜드	teʌlilɛndɯ
daisy	데이지	teid͡ɕi
Daisy	데이지	teid͡ɕi
Dakar	다카르	takʰalɯ
Dakota	다코타	takʰotʰa
Dalaman	댈러만	tɛllʌman
Dalbo	댈보	tɛlbo
Dale	데일	teil
Daleville	데일빌	teilbil
Dallas	달라스	tallasɯ
Dalton	돌턴	toltʰʌn
dam	댐	tɛm
Damar	다마	tama
