a	e i
Culver	k ʌ l b ʌ
Cumberland	k ʌ m b ʌ l l ɛ n d
Cumby	k ʌ m b i
Cumming	k ʌ m i ŋ
Cummings	k ʌ m i ŋ s
Cummington	k ʌ m i ŋ t ʌ n
Cunard	k ʌ n a d
Cunningham	k ʌ n i ŋ h ɛ m
cup	k ʌ p
Cupertino	k u p ʌ tʃ i n o
cupid	k j u p i d
cuplike	k ʌ m n a i k
curator	k j u l e i t ʌ
Curitiba	k u l i tʃ i b a
Curlew	k ʌ l l u
Curran	k ʌ l ɛ n
Currant	k ʌ l ɛ n d
Currie	k ʌ l i
Currituck	k ʌ l i t ʌ k
curry	k a l e
Curry	k ʌ l i
cursor	k ʌ s ʌ
curtain	k ʌ t e n
Curtis	k ʌ tʃ i s
curve	k ʌ b
cuscom	k ʌ s k ʌ m
Cushing	k u s i ŋ
cushion	k u s j ʌ n
Cushman	k u s w i m ʌ n
Cusseta	k u s e t a
Cusson	k u s o n
Custer	k ʌ s t ʌ
custom	k ʌ s t ʌ m
cut	k ʌ t
Cuthbert	k ʌ s b ʌ t
Cutler	k ʌ t l l ʌ
cutter	k ʌ t ʌ
cyan	s i a n
cyber	s a i b ʌ
cyberapt	s a i b ʌ a p a t
cyberliteracy	s a i b ʌ l i t ʌ l ʌ s i
cybernetics	s a i b ʌ n e tʃ i k s
cyberslacking	s a i b ʌ s l l ɛ k i ŋ
cyberspy	s a i b ʌ s p a i
cybersquatting	s a i b ʌ s k w ʌ tʃ i ŋ
cyberterror	s a i b ʌ t e l ʌ
cycle	s a i k l
cyclone	s a i k l l o n
cylinder	s i l l i n d ʌ
Cylon	s i l l o n
Cynthiana	s i n s i a n a
Cypress	s a i p l ʌ s
Cyprus	k i p l o s
Cyril	s i l i l
Cyrus	s a i l ʌ s
Czar	tʃ a l
Czechville	tʃ e k b i l
d	t i
D'Iberville	t i b e l b i l
D'Lo	t i l l o
Dabney	t a b n i
Dacada	t a k a d a
Dacoma	t a k o m a
Dacula	t a k j u l l a
dadaism	t a d a i dʒ m
Dadeville	t e i d b i l
Daewoo	t ɛ u
Daggett	t ɛ g ʌ t
Dahinda	t a h i n d a
Dahlia	t a l l i a
Dahlonega	t a l l o n e g a
Dahmer	t a m ʌ
Dahoma	t a h o m a
Dailey	t e i l l i
daily	t e i l l i
Dairy	t e ʌ l i
Dairyland	t e ʌ l i l ɛ n d
daisy	t e i dʒ i
Daisy	t e i dʒ i
Dakar	t a k a l
Dakota	t a k o t a
Dalaman	t ɛ l l ʌ m a n
Dalbo	t ɛ l b o
Dale	t e i l
Daleville	t e i l b i l
Dallas	t a l l a s
Dalton	t o l t ʌ n
dam	t ɛ m
Damar	t a m a
Damariscotta	t a m a l i s k o t a
Damascus	t a m a s k ʌ s
Dammam	t a m a m
damping	t ɛ m p i ŋ
Damscus	t a m a s k ʌ s
Dana	t a n a
Danbury	t ɛ n b e l i
Danby	t ɛ n b i
dance	t ɛ n s
Dancehall	t ɛ n s h o l
dancer	t ɛ n s ʌ
Danciger	t ɛ n s i g ʌ
DANDONG	t a n d o ŋ
Dandridge	t ɛ n d l i dʒ i
Dane	t e i n
Danese	t ɛ n i s
Danforth	t ɛ n p o s
Daniel	t a n i e l
Daniels	t ɛ n i ʌ l s
Dannemora	t ɛ n m o l a
Dannevirke	t e n i b ʌ k
Dansville	t ɛ n s b i l
Dante	t a n t e
Dantoni	t ɛ n t o n i
Danube	t a n j u b
Danvers	t ɛ n b ʌ s
Danville	t ɛ n b i l
Daphne	t ɛ p n i
Darby	t a b i
Dardanelle	t a l d a n e l
Dare	t e ʌ
Darfur	t a l p ʌ
Dargan	t a g ʌ n
Dargaville	t a g a b i l
Darien	t e l i ʌ n
dark	t a k
Darling	t a l l i ŋ
Darlington	t a l l i ŋ t ʌ n
Darlingtonia	t a l l i ŋ t o n i a
Darmstadt	t a l m s j u t a t
Darrington	t a l l i ŋ t ʌ n
Darrtown	t a t a u n
dart	t a t
Dartmouth	t a t m ʌ s
darwin	t a w i n
Darwin	t a w i n
Dasher	t ɛ s j ʌ
data	t e i t ʌ
date	t e i t
Datto	t a t o
daum	t a m
Davao	t a b a o
Davenport	t ɛ b ʌ n p o t
David	t e i b i d
Davidson	t e i b i s n
Davie	t e i b i
Davin	t a b i n
Davis	t e i b i s
Davison	t e i b i s n
Davisville	t e i b i s b i l
Davy	t e i b i
Dawes	t o s
Dawn	t o n
Dawson	t o s n
Dawsonville	t o s n b i l
day	t e i
Day	t e i
Dayton	t e i t ʌ n
Dayville	t e i b i l
Dazey	t e i dʒ i
DCinside	t i s i i n s a i d
Deacon	t i k ʌ n
dead	t e d
deadeye	t e d a i
Deadhorse	t e d h o s
Deadwood	t e d u d
dealer	t i l l ʌ
Dearborn	t i ʌ b o n
Dearing	t i ʌ l i ŋ
Deary	t i ʌ l i
Deatsville	t i tʃ b i l
Deaver	t i b ʌ
DeBary	t b e l i
Deblois	t b l l o i s
debug	t i b ʌ g
debut	t e b w i
Decatur	t i k e i t ʌ
decibel	t e s i b e l
decided	t i s a i dʒ i d
Decker	t e k ʌ
Deckers	t e k ʌ s
Declo	t e k l l o
Decorah	t e k o l a
Decorra	t e k o l a
Decota	t k o t a
Dedham	t e d ʌ m
Dee	t i
Deepstep	t i p s t e p
Deepwater	t i b w ʌ t ʌ
Deer	t i ʌ
Deerfield	t i ʌ p i l d
Deering	t i ʌ l i ŋ
Deerland	t i ʌ l ɛ n d
Deerpark	t i ʌ p a k
Deerwood	t i ʌ u d
Deeson	t i s n
Defeated	t i p i tʃ i d
Defiance	t i p a i ʌ n s
Defoe	t p o
Deford	t i p o d
degausser	t i g a u s ʌ
Dehesa	t e h e s a
DeKalb	t k a l b
Delafield	t e l l a p i l d
Delaney	t e l l a n i
Delano	t i l l a n o
Delavan	t e l l ʌ b ʌ n
Delaware	t e l l a w e ʌ
Delena	t e l l e n a
Delft	t e l p t
Delhi	t e l h a i
Delia	t i l l i a
Delight	t i l l a i t
Dell	t e l
Dellview	t e l b j u
Delmar	t e l m a
Delmont	t e l m o n t
Deloit	t e l l o i t
Delong	t l l o ŋ
Delphi	t e l p a i
Delphos	t e l p o s
Delray	t e l l e i
Delta	t e l t a
Delton	t e l t ʌ n
Deltona	t e l t o n a
deluxe	t i l ʌ k s
demand	t i m ɛ n d
Deming	t ʌ m i ŋ
Democrat	t e m o k l a t
demonstration	t e m o
Demopolis	t e m o p o l l i s
Demorest	t e m o l e s t
Dempsey	t e m p s i
Dempster	t e m p s t ʌ
Dendron	t e n d l o n
Denham	t e n h ɛ m
denim	t e n i m
Denison	t e n i s n
Denizli	t e n i dʒ l l i
Denmark	t e n m a k
Dennard	t n a d
Denning	t e n i ŋ
Dennis	t e n i s
Denpasar	t e n p a s a l
Dent	t e n t
dental	t e n t a l
Denton	t e n t ʌ n
Dentsville	t e n tʃ b i l
Denver	t e n b ʌ
Denzer	t e n dʒ ʌ
Deora	t i o l a
Depew	t p j u
Deport	t i p o t
Deposit	t i p o dʒ i t
Deputy	t e p j u tʃ i
DeQuincy	t k w i n s i
Derby	t ʌ b i
DeRidder	t e l i d ʌ
Derma	t ʌ m a
Dermott	t ʌ m o t
Derry	t e l i
DeRuyter	t l a i t ʌ
Derwent	t ʌ w e n t
Derwood	t ʌ u d
Descanso	t e s k a n s o
Deschutes	t ʌ s j u tʃ
Deseret	t e dʒ a l i t
design	t i dʒ a i n
designer	t i dʒ a i n ʌ
desk	t e s k
Desloge	t e s l o dʒ i
DeSmet	t e s m e t
DeSoto	t i s o t o
dessert	t i dʒ ʌ t
dessin	t e s ɛ ŋ
Destin	t e s tʃ i n
Detour	t i t u ʌ
Detroit	t i t l o i t
developer	t i b e l l o p ʌ
development	t i b e l l o m m ʌ n t
Deventer	t i b e n t ʌ
Devereux	t e b l ʌ
Deverre	t b e l
Devine	t i b a i n
Devol	t i b o l
Devonport	t e b ʌ n p o t
Devonshire	t e b o n s j a i ʌ
DevOps	t e b o p s
Devotion	t i b o s j ʌ n
Dew	t j u
Dewar	t j u ʌ
Dewey	t j u i
DeWitt	t w i t
Dewmaine	t j u m e i n
Dexter	t e k s t ʌ
Dhaka	t a k a
dharma	t a l m a
Dhrystone	t l a i s t o n
diablo	t i a b l l o
Diagonal	t a i a g o n a l
dial	t a i a l
dialogue	t a i ʌ l l o g
diamond	t a i a m o n d
Diamond	t a i a m o n d
Diamondville	t a i a m o n d b i l
Diana	t a i ɛ n a
diary	t a i ʌ l i
Diaz	t i a dʒ
Dibble	t i b l
Diboll	t i b o l
Dickens	t i k i n s
Dickerson	t i k ʌ s n
Dickert	t i k ʌ t
Dickey	t i k i
Dickinson	t i k i n s n
Dickson	t i k s n
dictionary	t i k s j ʌ n ʌ l i
Dierks	t ʌ k s
diet	t a i ʌ t
Dietrich	t i t l i k
digerati	t i dʒ ʌ l a tʃ i
digest	t a i dʒ e s t
Dighton	t a i t ʌ n
digital	t i dʒ i t ʌ l
digitizer	t i dʒ i t a i dʒ ʌ
Dike	t a i k
dill	t i l
Dillard	t i l l a d
Dillingham	t i l l i ŋ h ɛ m
Dillon	t i l l ʌ n
Dills	t i l s
Dillwyn	t i l w i n
Dilworth	t i l w ʌ s
Dimock	t i m o k
Dingy	t i ŋ i
Dinosaur	t a i n o s o ʌ
Dinuba	t i n u b a
diode	t a i o d
Diomede	t i o m e d
dioxin	t a i o k s i n
Dipple	t i p l
direct	t a i l e k t
director	t i l e k t ʌ
DirectX	t a i l e k t e k s
Disabler	t i s e i b l l ʌ
disco	t i s k o
discommunication	t i s k ʌ m j u n i k e i s j ʌ n
disk	t i s k
diskette	t i s k e t
Disko	t i s k o
disney	t i dʒ n i
Disney	t i dʒ n i
Disneyland	t i dʒ n i l ɛ n d
Dithering	t i d ʌ l i ŋ
diver	t a i b ʌ
Divide	t i b a i d
diving	t a i b i ŋ
DivX	t i b i k s
Dix	t i k s
Dixie	t i k s i
Dixon	t i k s n
Diyarbakir	t i j a l b a k i l
DJ	t i dʒ e i
Djibouti	dʒ i b u tʃ i
Dnepropetrovsk	t n e p l o p e t l o b s k
Doanville	t o n b i l
Dobbin	t o b i n
Dobbins	t o b i n s
Dobson	t o p s n
dock	t o k
Dockery	t o k ʌ l i
docking	t o k i ŋ
doctor	t a k t ʌ
doctrine	t o k t l i n
documentary	t a k j u m e n t ʌ l i
Dodd	t o d
Dodds	t o dʒ
Dodgeville	t o dʒ i b i l
Dodson	t o s n
Doerun	t o l ʌ n
dog	t o g
Dogtown	t o k t a u n
Dogue	t o g
Doha	t o h a
dollar	t a l l ʌ
dolly	t a l l i
Dolomite	t o l l o m i tʃ i
Dolores	t ʌ l l o l i s
dolphin	t o l p i n
Dolton	t o l t ʌ n
domain	t o m e i n
dome	t o m
Domestic	t o m e s tʃ i k
Dominica	t o m i n i k a g o ŋ h w a g u k
Donahue	t o n a h j u
Donald	t o n ʌ l d
Donalds	t o n ʌ l dʒ
Donaldson	t o n ʌ l d s n
Donalsonville	t o n ʌ l s n b i l
Dongola	t o ŋ g o l l a
DONGSHENG	t o ŋ s ʌ ŋ
Donie	t o n i
Donna	t o n a
Donnellson	t o n e l s n
Donnelly	t o n e l l i
Donnybrook	t o n i b l u k
Doole	t u l
Dooling	t u l l i ŋ
Doolittle	t u l l i t l
Doon	t u n
door	t o ʌ
doping	t o p i ŋ
Dopp	t o p
Dora	t o l a
Doral	t o l a l
Doran	t o l a n
Doraville	t o l a b i l
Dorcas	t o l k a s
Dorchester	t o tʃ e s t ʌ
Dorrance	t o l ʌ n s
Dorris	t o l i s
Dorset	t o s e t
Dorsey	t o s i
Dothan	t o t a n
Doty	t o tʃ i
Douala	t u a l l a
double	t ʌ b l
Dougherty	t o h ʌ tʃ i
doughnut	t o n ʌ t
Douglas	t ʌ g l l ʌ s
Douglass	t ʌ g l l ʌ s
Douglassville	t ʌ g l l a s b i l
Douglasville	t ʌ g l l ʌ s b i l
Dover	t o b ʌ
Dovray	t o b l e i
Dowagiac	t o w e dʒ i ɛ k
dowm	t a u n
down	t a u n
Downer	t a u n ʌ
Downey	t a u n i
Downieville	t a u n i b i l
Downing	t a u n i ŋ
download	t a u l l o d
Downs	t a u n s
downsizing	t a u n s a i dʒ i ŋ
downtown	t a u n t a u n
Dows	t a u dʒ
Doyle	t o i l
Doylestown	t o i l s t a u n
Dozier	t o dʒ i ʌ
Dracut	t l a k ʌ t
drag	t l ɛ g
dragon	t l ɛ g o n
Dragoon	t l ɛ g u n
Drake	t l e i k
drama	t l a m a
Draper	t l e p ʌ
draping	t l e p i ŋ
drawing	t l o i ŋ
Drayton	t l e i t ʌ n
dream	t l i m
Dreamland	t l i m n ɛ n d
dreamwiz	t l i m w i dʒ
dreamx	t l i m e k s
Dresden	t l e s d e n
Dresher	t l e s j ʌ
dress	t l e s
Dresser	t l e s ʌ
dressing	t l e s i ŋ
dressingroom	t l e s i ŋ n u m
Drew	t l u
Drexel	t l e k s e l
Driftwood	t l i p t u d
Driggs	t l i k s
drill	t l i l
drink	t l i ŋ k
Driscoll	t l i s k o l
drive	t l a i b
driver	t l a i b ʌ
Drivers	t l a i b ʌ s
Droop	t l u p
dropbox	t l o p p a k s
drum	t l ʌ m
Drummond	t l ʌ m ʌ n d
Drummondville	t l ʌ m ʌ n d b i l
Drumright	t l ʌ m n a i t
Drury	t l ʌ l a
dry	t l a i
Dryad	t l a i ʌ d
drybattery	t l a i b ɛ t ʌ l i
drycleaning	t l a i k l i n i ŋ
Dryden	t l a i d n
dryer	t l a i ʌ
Drytown	t l a i t a u n
dsniff	t i s n i p
dual	t j u ʌ l
Duane	t u e i n
Duarte	t u a l t e
Dubach	t ʌ b a k
Dubai	t u b a i
dubbing	t ʌ b i ŋ
Dubbo	t ʌ b o
Dubbs	t ʌ p s
Dublin	t ʌ b l l i n
Dubois	t u b o a
DuBois	t w i b u a
Dubuque	t ʌ b j u k
Duchesne	t w i s e n
duct	t a k t
Dudley	t ʌ d l l i
Duette	t j u e t
Duffau	t ʌ p o
Duffield	t ʌ p p i l d
Dufur	t ʌ p ʌ
Dugdale	t ʌ k t e i l
Dugger	t ʌ g ʌ
Duke	t j u k
Dulles	t ʌ l l e s
Duluth	t ʌ l l u s
Dulzura	t u l dʒ u l a
Dumas	t w i m a
Dumfries	t ʌ m p l i s
Dummer	t ʌ m ʌ
dummy	t ʌ m i
Dumont	t j u m o n t
dumper	t ʌ m p ʌ
dumping	t ʌ m p i ŋ
Dunavant	t ʌ n a b ʌ n t
Dunbar	t ʌ n b a
Duncan	t ʌ n k ʌ n
Dundas	t ʌ n d a s
Dundee	t ʌ n dʒ i
Dundon	t ʌ n d n
Dunedin	t ʌ n i d n
Dungeness	t ʌ n dʒ i n i s
DUNHUANG	t u n h w a ŋ
Dunkel	t u ŋ k e l
Dunkirk	t ʌ n k ʌ k
Dunlap	t ʌ l l ɛ p
Dunmore	t ʌ n m o ʌ
Dunn	t ʌ n
Dunnegan	t ʌ n g ʌ n
Dunnell	t ʌ n e l
Dunnellon	t u n e l l o n
Dunnigan	t ʌ n i g ʌ n
Dunns	t ʌ n dʒ
Dunnville	t ʌ n b i l
Dunsmuir	t ʌ n s m j u ʌ
Dunstable	t ʌ n s t ʌ b l
Dunwoody	t ʌ n u dʒ i
duo	t j u o
Dupont	t j u p o n t
DuPont	t j u p o n
Dupree	t j u p l i
Duquesne	t j u k e i n
Duquette	t j u k e t
Durand	t ʌ l ɛ n d
durango	t j u l a ŋ g o
Durango	t u l a ŋ g o
Durant	t j u l a n t
Durban	t ʌ b a n
Durbin	t ʌ b i n
Durgon	t ʌ g ʌ n
Durham	t ʌ l ʌ m
durian	t u l i a n
during	t j u l i ŋ
Durkee	t ʌ k i
Dushanbe	t u s a n b e
dusky	t ʌ s k i
Duson	t u s o n
Dusseldorf	t w i s e l d o l p
Dustin	t ʌ s tʃ i n
Dusty	t ʌ s tʃ i
Dutchtown	t ʌ tʃ i t a u n
Dutton	t ʌ t ʌ n
Duvall	t j u b a l
Duxbury	t ʌ k s b e l i
Dwight	t w a i t
Dwyer	t w i ʌ
Dyal	t a i l
Dyckesville	t a i k s b i l
Dycusburg	t a i k ʌ s b ʌ g
Dyer	t a i ʌ
Dyersville	t a i ʌ s b i l
Dyess	t a i s
Dyke	t a i k
Dykersburg	t a i k ʌ s b ʌ g
dynamic	t a i n ɛ m i k
Dysart	t i s ʌ t
dysprosium	t i s p l o s j u m
dystopia	t i s t o p i a
e	i
Eads	i dʒ
Eagan	i g ʌ n
Eagar	i g ʌ
Eagle	i g l
Eagleville	i g l b i l
Eakly	e k l l i
ear	i ʌ
Earl	ʌ l
Earle	ʌ l
Earlham	ʌ l h ɛ m
Earling	ʌ l l i ŋ
Earlington	ʌ l l i ŋ t ʌ n
Earlton	ʌ l t n
Earlville	ʌ l b i l
Early	ʌ l l i
Earnshaw	ʌ n s j o
Earp	ʌ p
earphone	i ʌ p o n
earring	i ʌ l i ŋ
earth	ʌ s
Easley	i s l l i
East	i s t
Eastborough	i s t b ʌ l ʌ
Eastbrook	i s t b l u k
Eastchester	i s t tʃ e s t ʌ
Eastgate	i s t g e i t
Eastham	i s t ʌ m
Easthampton	i s t h ɛ m p t ʌ n
Eastlake	i s t l e i k
Eastland	i s t l ɛ n d
Eastman	i s t m ʌ n
Easton	i s t ʌ n
Eastover	i s t o b ʌ
Eastport	i s p o t
Eastvale	i s t b e i l
Eastville	i s t b i l
Eaton	i t ʌ n
Eatonville	i t ʌ n b i l
Ebenezer	e b ʌ n i dʒ ʌ
ebrand	i b l ɛ n d
Ebro	e b l o
ecard	i k a d
Eccles	e k l l e s
Echols	e k o l s
Eckerty	e k k ʌ tʃ i
Eckford	e k p o d
Eckley	e k l l i
Eclectic	e k l l e k tʃ i k
economy	i k o n o m i
Economy	i k o n o m i
Ecru	e k l u
ecstasy	e k s t ʌ s i
Ector	e k t ʌ
Ecuador	e k w a d o l
Eddington	e dʒ i ŋ t ʌ n
Eddy	e dʒ i
Eddyville	e dʒ i b i l
Edelstein	e d e l s t a i n
Eden	e d e n
Edgar	e d g ʌ
Edgartown	e d g a t a u n
edge	e t dʒ i
Edge	e t dʒ i
Edgecomb	e dʒ i k o m
Edgehill	e dʒ i h i l
Edgerton	e dʒ ʌ t ʌ n
Edgewater	e dʒ i w ʌ t ʌ
Edgewood	e dʒ i u d
Edgington	e dʒ i ŋ t ʌ n
Edina	e dʒ i n a
Edinburg	e dʒ i n b ʌ g
Edinburgh	e dʒ i n b ʌ g
Edison	e dʒ i s n
editor	e dʒ i t ʌ
Edmeston	e d m e s t ʌ n
Edmond	e d m ʌ n d
Edmonds	e d m ʌ n dʒ
Edmondson	e d m ʌ n d s n
Edmonston	e d m ʌ n s t ʌ n
Edmonton	e d m ʌ n t ʌ n
Edmore	e d m o ʌ
Edmund	e d m ʌ n d
Edna	e d n a
Edom	e d o m
Edson	e d s n
education	e dʒ j u k e i s j ʌ n
Edwards	e d w ʌ dʒ
Edwardsville	e d w ʌ dʒ b i l
Eek	e k
effect	i p e k t
Effie	e p i
Effingham	e p i ŋ ʌ m
Efland	e p l l ɛ n d
Egan	i g ʌ n
Eggleston	i g l s t ʌ n
Eglantine	i g l l a n t a i n
ego	e g o
egoism	e g o i dʒ m
Egremont	e g l i m ʌ n t
Egypt	i dʒ i p t
Ehrhardt	e l h a l t
Eileen	e i l l i n
einsteinium	a i n s j u t a i n j u m
Eisenstein	a i n s t a i n
Eitzen	i t dʒ e n
Ekaterinburg	j e k a t e l i n b u l k
Ekin	e k i n
Ekron	e k l ʌ n
Elaine	i l l e i n
Elana	e l l a n a
elastica	e l l a s tʃ i k a
Elazig	e l a dʒ i g
Elba	e l b a
Elberfeld	e l b ʌ p e l d
Elberon	e l b ʌ l ʌ n
Elbert	e l b ʌ t
Elberta	e l b ʌ t a
Elbing	e l b i ŋ
Elbridge	e l b l i dʒ i
Elcho	e l k o
Elco	e l k o
Eldon	e l d ʌ n
Eldora	e l d o l a
Eldorado	e l d o l a d o
Eldridge	e l d l i dʒ i
Eleanor	i l l i n o ʌ
elegant	e l l i g ʌ n t
element	e l l i m ʌ n t
Eleroy	e l l o i
elevator	e l l i b e i t ʌ
eleven	i l l e b n
elf	e l p
Elgin	e l dʒ i n
Elida	e l l i d a
Elijah	e l l i dʒ a
Elim	e l l i m
Eliot	e l l i ʌ t
Eliza	e l l i dʒ a
Elizabeth	e l l i dʒ a b e s
Elizabethtown	e l l i dʒ a b e s t a u n
Elk	e l k
Elkader	e l k ɛ d ʌ
Elkhart	e l k h a t
Elkhorn	e l k h o n
Elkin	e l k i n
Elkins	e l k i n s
Elkmont	e l k m o n t
Elko	e l k o
Elkridge	e l k l i dʒ i
Elkton	e l k t ʌ n
Ella	e l l a
Ellenburg	e l l e n b ʌ g
Ellendale	e l l e n d e i l
Ellensburg	e l l e n s b ʌ g
Ellenwood	e l l e n u d
Ellerslie	e l l ʌ s l l i
Ellery	e l l ʌ l i
Ellesmere	e l dʒ m i ʌ
Ellicott	e l l i k o t
Ellijay	i l l a dʒ e i
Ellington	e l l i ŋ t ʌ n
Ellinwood	e l l i n u d
Elliott	e l l i ʌ t
Ellis	e l l i s
Ellisburg	e l l i s b ʌ g
Ellisville	e l l i s b i l
Ellsinore	e l s i n o ʌ
Ellsworth	e l s w ʌ s
Ellzey	e l dʒ i
Elma	e l m a
Elmdale	e l l m d e i l
Elmendorf	e l m e n d o l p
Elmer	e l m ʌ
Elmhurst	e l l m h ʌ s t
Elmira	e l m a i l a
Elmo	e l m o
Elmont	e l m o n t
Elmore	e l m o ʌ
Elmwood	e l l m u d
Elna	e l l a
Elon	e l l ʌ n
Eloy	i l l o i
Elrod	e l l o d
Elrosa	e l l o s a
Elroy	e l l o i
Elsa	e l s a
Elsanor	e l s a n o ʌ
Elsey	e l s i
Elsie	e l dʒ i
Elsinore	e l s i n o ʌ
Elsmere	e l s m i ʌ
Elsmore	e l dʒ m o ʌ
Elston	e l s t ʌ n
Eltham	e l s ʌ m
Elton	e l t ʌ n
Eltopia	e l t o p i a
Elvan	e l b a n
Elverta	ɛ l b ʌ t a
Elvira	e l b i l a
Elwha	e l h w a
Elwood	e l u d
Ely	i l l i
Elyria	i l l i l i a
Elysian	e l l i s i a n
EMACS	i m ɛ k s
email	i m e i l
emart	i m a t
embassy	e m b ʌ s i
Emblem	e m b l l e m
Embudo	e m b ʌ d o
Emden	e m d n
Emelle	e m e l l e
emerald	e m e l a l d
Emerald	e m ʌ l a l d
Emerson	e m ʌ s n
Emery	e m ʌ l i
Emeryville	e m ʌ l i b i l
Emhouse	e m h a u s
Emigrant	e m i g l ɛ n t
emilsion	e m ʌ l dʒ ʌ n
Emily	e m i l l i
eminem	e m i n e m
Eminence	e m i n ʌ n s
Emit	e m i t
Emma	e m m a
Emmaus	e m m a u s
Emmet	e m e t
Emmett	e m i t
Emmitsburg	e m i tʃ b ʌ g
Emmons	e m o n s
Emory	e m o l i
emoticon	i m o tʃ i k o n
empas	e m p a s
Empire	e m p a i ʌ
Emporia	e m p o l i a
Emporium	e m p o l i ʌ m
emulator	e m j u l l e i t ʌ
emulsion	i m ʌ l s j ʌ n
enamel	e n a m e l
Encinitas	ɛ n s i n i t a s
encore	a ŋ k o l
Enderby	e n d ʌ b i
Enderlin	e n d ʌ l i n
Enders	e n d ʌ s
Endicott	e n dʒ i k o t
Energie	e n e l g i
energy	e n ʌ dʒ i
Enfield	e n p i l d
engagement	i n g e i dʒ i m ʌ n t
Engelhard	e ŋ g e l h a d
engine	e n dʒ i n
engineer	e n dʒ i n i ʌ
engineering	e n dʒ i n i ʌ l i ŋ
england	i ŋ g l l ɛ n d
England	i ŋ g l l ɛ n d
Engle	e ŋ g l
Englewood	i ŋ g l u d
english	i ŋ g l l i s i
ENIAC	e n i a k
Enid	i n ʌ d
Enigma	ʌ n i g m a
Enion	e n i ʌ n
enjoy	e n dʒ o i
Enka	e n k a
Ennis	e n i s
Eno	i n o
Enoch	e n o k
Enochs	e n o k s
Enola	e n o l l a
Enon	e n o n
Enos	e n o s
ensemble	a ŋ s a ŋ b l
Ensign	e n s a i n
Ensley	ɛ n s l l i
Entebbe	e n t e b e
enterovirus	e n t e l o b a i l ʌ s
Enterprise	e n t ʌ p l a i dʒ
enthusia	e n s ʌ dʒ i a
entity	e n tʃ i tʃ i
entropy	e n t l o p i
Entry	e n t l i
Enugu	e n u g u dʒ u
ENUM	i n ʌ m
Enumclaw	i n ʌ m k l l o
Enville	e n b i l
Eola	e o l l a
Epes	e p e s
Ephesus	e p e s ʌ s
Ephraim	i p l i ʌ m
Ephrata	e p l a t a
Ephratah	e p l a t a
epilogue	e p i l l o g
episode	e p i s o d
Epping	e p i ŋ
Epsom	e m s o m
Epworth	e b w ʌ s
Equality	i k w ʌ l l i tʃ i
Era	e l a
Erath	e l a s
ERBIL	a l b i l
erbium	e l b j u m
Ercan	e l k a n
Erevan	j e l e b a n
Erhard	ʌ h a d
Erick	e l i k
Erie	e l i
Erin	e l i n
Eritrea	e l i t l e a
Erlanger	ʌ l l ɛ ŋ ʌ
Erle	ʌ l
Errol	e l ʌ l
error	e l ʌ
Erskine	ʌ s k i n
Erving	ʌ b i ŋ
Erwin	ʌ w i n
Erzincan	e l dʒ i n dʒ a n
Erzurum	e l dʒ u l u m
Esbon	e s b o n
Escalante	e s k a l l a n t e
escalator	e s k ʌ l l e i t ʌ
Escalon	e s k a l l o n
Escanaba	e s k ʌ n a b a
escape	i s k e i p
Escondido	e s k o n dʒ i d o
Esdaile	e s d e i l
Eskimo	e s k i m o
Esko	e s k o
Eskridge	e s k l i dʒ i
Esmond	e s m ʌ n d
Esofea	e s o p i
Espanola	e s p a n o l l a
Esperance	e s p ʌ l ɛ n s
essay	e s e i
essence	e s e n s
Essex	e s e k s
Essig	e s i k
Estancia	e s t a n s i a
Estella	e s t e l l a
Estherville	e s t ʌ b i l
Estiffanulga	e s tʃ i p a n u l g a
Esto	e s t o
Estonia	e s t o n i a
estrogen	e s t l e dʒ e n
Etha	e t a
Ethan	e t a n
Ethel	e s e l
Ether	e s ʌ
Ethernet	i d ʌ n e t
Ethiopia	e tʃ i o p i a
etizen	i tʃ i dʒ n
Etna	e t n a
Etoile	e t u a l
Eton	i t n
Etowah	e t o w a
Ettrick	e t l i k
Eubank	j u b ɛ ŋ k
Euclid	j u k l l i d
Eudora	j u d o l a
Eufala	j u p a l l a
Eufaula	j u p o l l a
Eugene	j u dʒ i n
Eula	j u l l a
Euless	j u l l i s
Eunice	j u n i s
Eupora	j u p o l a
Eureka	j u l e k a a k a t a
euro	j u l o
Euro	j u l o
Euronet	j u l o n e t
Europe	j u l ʌ p
europium	j u l o p j u m
Eurotunnel	j u l ʌ t ʌ n ʌ l
Eustace	j u s t ʌ s
Eustis	j u s tʃ i s
Eutaw	j u t a
Eutawville	j u t o b i l
Eva	e b a
Evaline	e b ʌ l l i n
Evan	e b a n
Evans	e b a n s
Evanston	e b ʌ n s t ʌ n
Evansville	e b ʌ n dʒ b i l
Evart	e b a t
Eveleth	e b ʌ l l i s
even	i b n
evening	i b n i ŋ
event	i b e n t
Everest	e b ʌ l i s t
Everett	e b ʌ l e t
Everglades	e b ʌ g l l e i dʒ
Evergreen	e b ʌ g l i n
Everly	e b ʌ l l i
evernote	e b ʌ n o t
Evernote	e b ʌ n o t
Everson	e b ʌ s n
Everton	e b ʌ t ʌ n
every	e b l i
evil	i b l
Evinston	e b i n s t ʌ n
evron	e b l ʌ n
Ewart	i ʌ t
Ewell	i w e l
Ewing	j u i ŋ
Excel	e k s e l
Excell	e k s e l
excellent	e k s ʌ l l ʌ n t
Excello	e k s e l l o
Excelsior	e k s e l s i ʌ
exchange	i k s tʃ e i n dʒ i
Exchange	i k s tʃ e i n dʒ i
excite	i k s a i t
